Tipo de documento,Folio,Prefijo,Fecha Emisión,Fecha Recepción,NIT Emisor,Nombre Emisor,NIT Receptor,Nombre Receptor,IVA,ICA,IPC,Total,Estado,Grupo
Factura electrónica,124,FVE,06-04-2022,06-04-2022 17:02:30,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,901006326,GOBRAND SAS,0,0,0,180000,Aprobado con notificación,Emitido
Factura electrónica,123,FVE,06-04-2022,06-04-2022 17:01:43,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,901006326,GOBRAND SAS,46369.5,0,0,290419.5,Aprobado con notificación,Emitido
Factura electrónica,122,FVE,06-04-2022,06-04-2022 17:01:08,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,890204220,Gonzalez Bohorquez SAS,225193.89,0,0,1410424.89,Aprobado con notificación,Emitido
Factura electrónica,121,FVE,06-04-2022,06-04-2022 17:00:04,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900382295,IVAN SOLANO FUENTES SAS,0,0,0,37500,Aprobado con notificación,Emitido
Factura electrónica,120,FVE,06-04-2022,06-04-2022 16:59:09,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900382295,IVAN SOLANO FUENTES SAS,205669.68,0,0,1288141.68,Aprobado con notificación,Emitido
Factura electrónica,119,FVE,06-04-2022,06-04-2022 16:57:07,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900786204,GRUPO FERRAN PROYECTOS Y CONSTRUCCION  S.A.S.,46177.6,0,0,289217.6,Aprobado con notificación,Emitido
Factura electrónica,118,FVE,06-04-2022,06-04-2022 16:55:53,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,901540165,MAO CONSTRUCTORA SAS,0,0,0,160000,Aprobado con notificación,Emitido
Factura electrónica,117,FVE,06-04-2022,06-04-2022 16:55:12,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,901540165,MAO CONSTRUCTORA SAS,131594.38,0,0,824196.38,Aprobado con notificación,Emitido
Factura electrónica,116,FVE,06-04-2022,06-04-2022 16:54:13,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900974933,DISEÑOS INOXIDABLES DE COLOMBIA,138224.46,0,0,865721.61,Aprobado con notificación,Emitido
Factura electrónica,115,FVE,06-04-2022,06-04-2022 16:50:50,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,901457379,inversiones MBO SAS,0,0,0,30000,Aprobado con notificación,Emitido
Factura electrónica,114,FVE,06-04-2022,06-04-2022 16:50:27,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,901457379,inversiones MBO SAS,35910,0,0,224910,Aprobado con notificación,Emitido
Factura electrónica,111,FVE,05-03-2022,05-03-2022 14:55:41,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900786204,GRUPO FERRANI PROYECTOS Y CONSTRUCCION  S.A.S.,0,0,0,15000,Aprobado con notificación,Emitido
Nota de crédito electrónica,8,NCE,29-03-2022,29-03-2022 20:10:31,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900786204,GRUPO FERRAN PROYECTOS Y CONSTRUCCION  S.A.S.,0,0,0,15000,Aprobado,Emitido
Factura electrónica,110,FVE,05-03-2022,05-03-2022 14:49:29,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900786204,GRUPO FERRANI PROYECTOS Y CONSTRUCCION  S.A.S.,63384,0,0,396984,Aprobado con notificación,Emitido
Nota de crédito electrónica,7,NCE,29-03-2022,29-03-2022 20:09:02,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900786204,GRUPO FERRAN PROYECTOS Y CONSTRUCCION  S.A.S.,63384,0,0,396984,Aprobado,Emitido
Factura electrónica,113,FVE,14-03-2022,14-03-2022 19:32:12,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900786204,GRUPO FERRAN PROYECTOS Y CONSTRUCCION  S.A.S.,0,0,0,15000,Aprobado con notificación,Emitido
Factura electrónica,112,FVE,14-03-2022,14-03-2022 19:31:23,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900786204,GRUPO FERRAN PROYECTOS Y CONSTRUCCION  S.A.S.,65755.2,0,0,411835.2,Aprobado con notificación,Emitido
Factura electrónica,109,FVE,02-03-2022,02-03-2022 20:53:13,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,901540165,MAO CONSTRUCTORA SAS,0,0,0,210000,Aprobado con notificación,Emitido
Factura electrónica,108,FVE,02-03-2022,02-03-2022 20:50:18,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,901540165,MAO CONSTRUCTORA SAS,130723.23,0,0,818740.23,Aprobado con notificación,Emitido
Factura electrónica,107,FVE,02-03-2022,02-03-2022 20:45:34,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900974933,DISEÑOS INOXIDABLES DE COLOMBIA,73208.43,0,0,458515.98,Aprobado con notificación,Emitido
Factura electrónica,106,FVE,02-03-2022,02-03-2022 20:42:25,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,901457379,inversiones MBO SAS,0,0,0,90000,Aprobado con notificación,Emitido
Factura electrónica,105,FVE,02-03-2022,02-03-2022 20:40:26,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,901457379,inversiones MBO SAS,21874.7,0,0,137004.7,Aprobado con notificación,Emitido
Factura electrónica,104,FVE,02-03-2022,02-03-2022 20:37:03,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,890204220,Gonzalez Bohorquez SAS,254103.72,0,0,1591491.72,Aprobado con notificación,Emitido
Factura electrónica,103,FVE,02-03-2022,02-03-2022 19:47:55,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900382295,IVAN SOLANO FUENTES SAS,554382.76,0,0,3472186.76,Aprobado con notificación,Emitido
Factura electrónica,102,FVE,10-02-2022,10-02-2022 16:48:19,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,901457379,inversiones MBO SAS,11400,0,0,71400,Aprobado con notificación,Emitido
Factura electrónica,101,FVE,09-02-2022,09-02-2022 22:47:29,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,901457379,inversiones MBO SAS,32395,0,0,202895,Aprobado con notificación,Emitido
Factura electrónica,100,FVE,08-02-2022,08-02-2022 14:27:23,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,804004185,IMAN INGENIERIA Y MANTENIMIENTO SAS,0,0,0,42500,Aprobado con notificación,Emitido
Factura electrónica,99,FVE,08-02-2022,08-02-2022 14:23:48,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,804004185,IMAN INGENIERIA Y MANTENIMIENTO SAS,356473.63,0,0,2232650.63,Aprobado con notificación,Emitido
Nota de crédito electrónica,6,NCE,03-02-2022,03-02-2022 23:10:37,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,804004185,IMAN INGENIERIA Y MANTENIMIENTO SAS,333447.34,0,0,2088433.34,Aprobado,Emitido
Factura electrónica,97,FVE,02-02-2022,02-02-2022 14:49:38,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,804004185,IMAN INGENIERIA Y MANTENIMIENTO SAS,333447.34,0,0,2088433.34,Aprobado con notificación,Emitido
Factura electrónica,98,FVE,02-02-2022,02-02-2022 20:01:23,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,890204220,Gonzalez Bohorquez SAS,333447.34,0,0,2088433.34,Aprobado con notificación,Emitido
Factura electrónica,96,FVE,21-01-2022,21-01-2022 15:44:44,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,804004185,IMAN INGENIERIA Y MANTENIMIENTO SAS,0,0,0,80000,Aprobado con notificación,Emitido
Factura electrónica,95,FVE,21-01-2022,21-01-2022 15:41:36,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,804004185,IMAN INGENIERIA Y MANTENIMIENTO SAS,464358.1,0,0,2908348.1,Aprobado con notificación,Emitido
Factura electrónica,94,FVE,21-01-2022,21-01-2022 15:00:46,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900974933,DISEÑOS INOXIDABLES DE COLOMBIA,45404.68,0,0,284376.68,Aprobado con notificación,Emitido
Factura electrónica,93,FVE,20-01-2022,20-01-2022 19:47:44,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,901457379,inversiones MBO SAS,32395,0,0,202895,Aprobado con notificación,Emitido
Factura electrónica,92,FVE,20-01-2022,20-01-2022 16:39:45,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900907803,TODO REPUESTOS Y FRENOS LA 61 SAS TODO REPUESTOS,0,0,0,25000,Aprobado con notificación,Emitido
Factura electrónica,91,FVE,20-01-2022,20-01-2022 16:38:54,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,900907803,TODO REPUESTOS Y FRENOS LA 61 SAS TODO REPUESTOS,2736,0,0,17136,Aprobado con notificación,Emitido
Factura electrónica,90,FVE,19-01-2022,19-01-2022 18:45:43,900206780,ALQUILERES Y EQUIPOS DEL ORIENTE LIMITADA,804004185,IMAN INGENIERIA Y MANTENIMIENTO SAS IMAN,0,0,0,60000,Aprobado con notificación,Emitido
