COTIZACION,COTIZACION,COTIZACION,COTIZACION,COTIZACION,COTIZACION,COTIZACION,COTIZACION
DECORACIONES SANTANDER: 3158917009,DECORACIONES SANTANDER: 3158917009,DECORACIONES SANTANDER: 3158917009,DECORACIONES SANTANDER: 3158917009,DECORACIONES SANTANDER: 3158917009,DECORACIONES SANTANDER: 3158917009,DECORACIONES SANTANDER: 3158917009,DECORACIONES SANTANDER: 3158917009
CALLE 45 # 21-59,CALLE 45 # 21-59,CALLE 45 # 21-59,CALLE 45 # 21-59,CALLE 45 # 21-59,CALLE 45 # 21-59,CALLE 45 # 21-59,CALLE 45 # 21-59
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO
MATERIAL,DIAS,CANTIDAD,VALOR,"COSTO 
DIARIO","PRECIO
 DIARIO","PESO
 EN KG","TOTAL
 PESO "
"SECCIONES DE  ANDAMIO 2M X ,09",5,3,1500,4500,22500,40,120
TABLONES 3M,5,4,500,2000,10000,19,76
RUEDAS DE ANDAMIO,5,4,750,3000,15000,1,4
,,SUB-TOTAL DIARIO,SUB-TOTAL DIARIO,9500,PESO TOTAL,PESO TOTAL,200
,,ALQUILER5DIAS,ALQUILER5DIAS,47500,,,
,,TRANSPORTE,TRANSPORTE,70000,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA,
,,TOTAL ,TOTAL ,117500,,,
REQUISITOS,,,,,,,
DEPOSITO,500000,,,,,,
RECIBO SERVICIOS PUBLICOS DEL INMUEBLE INFERIOR A 3 MESES,,,,,,,
RUT DE LA EMPRESA O FOTOCOPIA CEDULA RESPONDABLE,,,,,,,
