PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA
EUGENIO ESTEBAN VARGAS: 3143291613,EUGENIO ESTEBAN VARGAS: 3143291613,EUGENIO ESTEBAN VARGAS: 3143291613,EUGENIO ESTEBAN VARGAS: 3143291613,EUGENIO ESTEBAN VARGAS: 3143291613,EUGENIO ESTEBAN VARGAS: 3143291613,EUGENIO ESTEBAN VARGAS: 3143291613,EUGENIO ESTEBAN VARGAS: 3143291613
LA JUVENTUD,LA JUVENTUD,LA JUVENTUD,LA JUVENTUD,LA JUVENTUD,LA JUVENTUD,LA JUVENTUD,LA JUVENTUD
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO EN KG,TOTAL PESO 
FORMALETAS DE 60 X 120,15,100,350,35000,525000,26,2600
FORMALETAS DE 25 X 120,15,10,250,2500,37500,13.5,135
CERCHAS 3 MTS,15,26,120,3120,46800,26,676
CERCHAS 2 MTS,15,1,120,120,1800,26,26
PARALES3 MTS,15,46,130,5980,89700,15.5,713
CHAPETAS REDONDAS,15,500,18,9000,135000,0.02,10
,,VALOR DIARIO,VALOR DIARIO,55720,PESO TOTAL,PESO TOTAL,4160
,,VALOR TOTAL,VALOR TOTAL,835800,,,
,,TRANSPORTE,TRANSPORTE,150000,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA
,,TOTAL,TOTAL,986000,,,
LLENAR FORMATO DE FORMATO DE CLIENTES,,,,,,,
CEDULA CIUDADANIA,,,,,,,
DEPOSITO : $1.200.000,,,,,,,
RECIBO DEL INMUEBLE,,,,,,,
,,,,,,,
PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA
EUGENIO ESTEBAN VARGAS: 3143291613,EUGENIO ESTEBAN VARGAS: 3143291613,EUGENIO ESTEBAN VARGAS: 3143291613,EUGENIO ESTEBAN VARGAS: 3143291613,EUGENIO ESTEBAN VARGAS: 3143291613,EUGENIO ESTEBAN VARGAS: 3143291613,EUGENIO ESTEBAN VARGAS: 3143291613,EUGENIO ESTEBAN VARGAS: 3143291613
LA JUVENTUD,LA JUVENTUD,LA JUVENTUD,LA JUVENTUD,LA JUVENTUD,LA JUVENTUD,LA JUVENTUD,LA JUVENTUD
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO EN KG,TOTAL PESO 
FORMALETAS DE 60 X 120,15,19,350,6650,99750,26,494
FORMALETAS DE 25 X 120,15,10,250,2500,37500,13.5,135
CERCHAS 3 MTS,15,26,120,3120,46800,26,676
CERCHAS 2 MTS,15,1,120,120,1800,26,26
PARALES3 MTS,15,46,130,5980,89700,15.5,713
CHAPETAS ,15,500,18,9000,135000,0.02,10
,,VALOR DIARIO,VALOR DIARIO,27370,PESO TOTAL,PESO TOTAL,2054
,,VALOR TOTAL,VALOR TOTAL,410550,,,
,,TRANSPORTE,TRANSPORTE,150000,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA
,,TOTAL,TOTAL,986000,,,
