EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA
FUNDACION SHADDAY.NANCY: 3153827155,FUNDACION SHADDAY.NANCY: 3153827155,FUNDACION SHADDAY.NANCY: 3153827155,FUNDACION SHADDAY.NANCY: 3153827155,FUNDACION SHADDAY.NANCY: 3153827155,FUNDACION SHADDAY.NANCY: 3153827155
CARRERA 23 # 7-25,CARRERA 23 # 7-25,CARRERA 23 # 7-25,CARRERA 23 # 7-25,CARRERA 23 # 7-25,CARRERA 23 # 7-25
COTIZACION 4 COLUMNAS DE 30 X 20 X 240,COTIZACION 4 COLUMNAS DE 30 X 20 X 240,COTIZACION 4 COLUMNAS DE 30 X 20 X 240,COTIZACION 4 COLUMNAS DE 30 X 20 X 240,COTIZACION 4 COLUMNAS DE 30 X 20 X 240,COTIZACION 4 COLUMNAS DE 30 X 20 X 240
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO
"FORMALETA 30X 1,20",7,16,260,4160,29120
"FORMALETA 20 X 1,20",7,16,240,3840,26880
ANGULOS 60,7,16,45,720,5040
"ANGULOS 1,20",7,8,85,680,4760
PARALES 3 MTS,7,16,120,1920,13440
CHAPETAS,7,370,20,7400,51800
SECCION DE ANDAMIO,7,2,1200,2400,16800
CERCHA DE 3 MTS,7,1,120,120,840
7 DIAS,7 DIAS,SUB-TOTAL DIARIO INCLUIDO IVA,SUB-TOTAL DIARIO INCLUIDO IVA,25275.6,
7 DIAS,7 DIAS,7 DIAS INCLUIDO IVA,7 DIAS INCLUIDO IVA,175929.6,
7 DIAS,7 DIAS,LLEVADA YTRAIDA,LLEVADA YTRAIDA,40000,
7 DIAS,7 DIAS, GRANTOTAL, GRANTOTAL,215929.6,
LLEVADA Y TRAIDA,,,,,
VALOR 7 DIAS INCLUIDO IVA,,,,,
TOTAL7 DIAS CON TRANSPORTE,,,,,
