PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA,PLACA CASA
HERVIN VARGAS: 3186200402,HERVIN VARGAS: 3186200402,HERVIN VARGAS: 3186200402,HERVIN VARGAS: 3186200402,HERVIN VARGAS: 3186200402,HERVIN VARGAS: 3186200402,HERVIN VARGAS: 3186200402,HERVIN VARGAS: 3186200402
LA JUVENTUD. CARRERA 20 # 2N A -30,LA JUVENTUD. CARRERA 20 # 2N A -30,LA JUVENTUD. CARRERA 20 # 2N A -30,LA JUVENTUD. CARRERA 20 # 2N A -30,LA JUVENTUD. CARRERA 20 # 2N A -30,LA JUVENTUD. CARRERA 20 # 2N A -30,LA JUVENTUD. CARRERA 20 # 2N A -30,LA JUVENTUD. CARRERA 20 # 2N A -30
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO EN KG,TOTAL PESO 
FORMALETAS DE 60 X 120,30,90,350,31500,945000,26,2340
FORMALETAS DE30X 120,30,20,270,5400,162000,13.5,270
FORMALETAS DE10 X 120,30,18,200,3600,108000,6,108
CERCHAS 3 MTS,30,24,120,2880,86400,26,624
"PARALES3,5 MTS",30,70,120,8400,252000,15.5,1085
CHAPETAS REDONDAS,30,500,18,9000,270000,0.01,5
SECCION ANDAMIO VERDE,30,1,1500,1500,45000,40,40
TABLON,30,1,500,500,15000,19,19
2 AL 31 DE MARZO /2023,2 AL 31 DE MARZO /2023,VALOR DIARIO,VALOR DIARIO,62780,PESO TOTAL,PESO TOTAL,4491
2 AL 31 DE MARZO /2023,2 AL 31 DE MARZO /2023,VALOR TOTAL,VALOR TOTAL,1883400,,,
2 AL 31 DE MARZO /2023,2 AL 31 DE MARZO /2023,TRANSPORTE,TRANSPORTE,150000,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA,LLEVADA Y TRAIDA
2 AL 31 DE MARZO /2023,2 AL 31 DE MARZO /2023,TOTAL,TOTAL,2033400,,,
DEPOSITO ,2000000,,,,,,
FORMATO DE CLIENTES,,,,,,,
CEDULA DE CIUDADANIA,,,,,,,
RECIBO DE SERVICIOS PUBLICOS,,,,,,,
