PREFACTURA ANDAMIOS Y TABLONES Y RUEDAS,PREFACTURA ANDAMIOS Y TABLONES Y RUEDAS,PREFACTURA ANDAMIOS Y TABLONES Y RUEDAS,PREFACTURA ANDAMIOS Y TABLONES Y RUEDAS,PREFACTURA ANDAMIOS Y TABLONES Y RUEDAS,PREFACTURA ANDAMIOS Y TABLONES Y RUEDAS,PREFACTURA ANDAMIOS Y TABLONES Y RUEDAS,PREFACTURA ANDAMIOS Y TABLONES Y RUEDAS
BIOCOMBUSTIBLES,BIOCOMBUSTIBLES,BIOCOMBUSTIBLES,BIOCOMBUSTIBLES,BIOCOMBUSTIBLES,BIOCOMBUSTIBLES,BIOCOMBUSTIBLES,BIOCOMBUSTIBLES
CARRERA 17 # 7 -36,CARRERA 17 # 7 -36,CARRERA 17 # 7 -36,CARRERA 17 # 7 -36,CARRERA 17 # 7 -36,CARRERA 17 # 7 -36,CARRERA 17 # 7 -36,CARRERA 17 # 7 -36
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO
MATERIAL,DIAS,CANTIDAD,VALOR,"COSTO 
DIARIO","PRECIO
 DIARIO","PESO
 EN KG","TOTAL
 PESO "
"SECCIONES DE  ANDAMIO 2M X ,09",5,2,1500,3000,15000,40,80
TABLONES 3M,5,3,500,1500,7500,19,57
RUEDAS DE ANDAMIO,5,4,750,3000,15000,1,4
FEBRERO 1 AL 3,FEBRERO 1 AL 3,SUB-TOTAL DIARIO,SUB-TOTAL DIARIO,7500,PESO TOTAL,PESO TOTAL,141
FEBRERO 1 AL 3,FEBRERO 1 AL 3,ALQUILER 10 DIAS,ALQUILER 10 DIAS,37500,,,
FEBRERO 1 AL 3,FEBRERO 1 AL 3,IVA 19%,IVA 19%,7125,,,
FEBRERO 1 AL 3,FEBRERO 1 AL 3,TRANSPORTE,TRANSPORTE,12500,,,
FEBRERO 1 AL 3,FEBRERO 1 AL 3,TOTAL ,TOTAL ,57125,,,
