JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,JIMMY A. JAIMES CARRILLO C.C.72.185.935-7,,,,,
COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,COTIZACION EQUIPO PARA LA CONSTRUCCION,,,,,
MATANZA . Maestro juan: 3112930796,MATANZA . Maestro juan: 3112930796,MATANZA . Maestro juan: 3112930796,MATANZA . Maestro juan: 3112930796,MATANZA . Maestro juan: 3112930796,MATANZA . Maestro juan: 3112930796,MATANZA . Maestro juan: 3112930796,MATANZA . Maestro juan: 3112930796,,,,,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PESO,PESO,,,,,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,PESO EN KG,TOTAL PESO ,,,,,
FORMALETA 30 X 120 ,15,24,270,6480,97200,13.5,324,,,,,
FORMALETA 20 X 120 ,15,24,250,6000,90000,9.5,228,,,,,
FORMALETA  15 X 120,15,24,240,5760,86400,7,168,,,,,
FORMALETA 10 X 120,15,7,200,1400,21000,6,42,,,,,
CERCHA 3 MTS,15,5,120,600,9000,29,145,,,,,
CERCHAS 2 MTS ,15,4,120,480,7200,15,60,,,,,
"ANGULOS 2,4 MTS ",15,10,150,1500,22500,6.5,65,,,,,
"ANGULOS 1,20 MTS ",15,4,80,320,4800,3,12,,,,,
PARALES 3 MTS,15,13,120,1560,23400,13.5,175.5,,,,,
CHAPETAS ,15,150,20,3000,45000,0.2,30,,,,,
