LISTA DE PRECIOS 2023,LISTA DE PRECIOS 2023,LISTA DE PRECIOS 2023
MATERIAL,VALOR UNITARIO  DIARIO,TIEMPO MINIMO DE ALQUILER
"ALINEADOR DE 1,0 METROS",100,5 DIAS 
"ALINEADOR DE 1,50 METROS",120,5 DIAS 
"ALINEADOR DE 2,00 METROS",200,5 DIAS 
ALINEADOR DE 2.50 METROS,250,5 DIAS 
"ALINEADOR  DE 3,00 METROS",300,5 DIAS 
"ALINEADORES DE 4,0 METROS",350,5 DIAS 
"ALINEADORES DE 6,0 METROS",450,5 DIAS 
ANGULO DE 60 CENTIMETROS,40,5 DIAS 
ANGULO DE 1.20 METROS,80,5 DIAS 
ANGULO DE 2.40 METROS,150,5 DIAS 
ARNES DE SEGURIDAD,2800,5 DIAS 
"TABLERO DE MADERA 0,70 * 1,40",180,7 DIAS
"BANDAS DE MADERA  0,40 * 1,00",150,7 DIAS
"BANDAS DE MADERA  0,40 * 1,20",140,7 DIAS
"BANDAS DE MADERA  0,40 * 1,40",130,7 DIAS
"CERCHA METALICA DE 1,20 METROS",120,7 DIAS
"CERCHA METALICA DE 1,50 METROS",120,7 DIAS
CERCHA METALICA DE 2 METROS,120,7 DIAS
CERCHA METALICA DE 3 METROS,120,7 DIAS
CHAPETAS ,20,7 DIAS
CILINDROPRUEBA CONCRETO Y VARILLA,2000,7 DIAS
ESCALERA DE 12 PASOS ,7000,7 DIAS
KIT POLEA COLGANTE,7500,7 DIAS
MARTILLO EXTRACTOR,500,7 DIAS
PARALES DE 1 METRO,90,7 DIAS
PARALES DE 3 METROS,120,7 DIAS
"PARALES DE 3,50 METROS",120,7 DIAS
PARALES DE 4 METROS,170,7 DIAS
PARALES DE 6 METROS,300,7 DIAS
ANGULOS DE 6 METROS PARA POLEA,450,5 DIAS 
PASAMANOS DE 6 MTS,400,5 DIAS 
PASAMANOS DE 3 MTS,350,5 DIAS 
PERROS SI LOS BOTAN $ 1000,50,5 DIAS 
PINES,12,5 DIAS 
POLEA COLGANTE,3000,5 DIAS 
POLEA MANUAL CON MANILA (30 Mts).,1000,5 DIAS 
RINCONERA DE 10*10*1.20,240,5 DIAS 
RINCONERA DE 15*15*1.20,280,5 DIAS 
RODACHINES PARA ANDAMIO,750,5 DIAS 
"SECCION DE ANDAMIOS 1,5*1,5 (2 and + 2 cruc)",1000,5 DIAS 
"MEZCLADORA DIESEL  1 1/2 "" BULTOS",60000,1 DIA
VIBRADOR ELECTRICO 110 V,40000,1 DIA
"SECCION DE ANDAMIOS (2MTS*0,90)",1500,5 DIAS 
SOGAS O LINEAS DE VIDA,3000,5 DIAS 
"TABLERO METALICO 5 * 1,20",200,5 DIAS 
"TABLERO METALICO 10 * 1,20",200,5 DIAS 
"TABLERO METALICO 12 * 1,20",220,5 DIAS 
"TABLERO METALICO 15 * 1,20",240,5 DIAS 
"TABLERO METALICO 20 * 1,20",250,5 DIAS 
"TABLERO METALICO 25 * 1,20",260,5 DIAS 
"TABLERO METALICO 27.5 * 1,20",265,5 DIAS 
TABLERO METALICO 30 * 120,270,5 DIAS 
TABLERO METALICO 35 * 120,285,5 DIAS 
"TABLERO METALICO 40 * 1,20",300,5 DIAS 
"TABLERO METALICO 45 * 1,20",310,5 DIAS 
"TABLERO METALICO 50 * 1,20",320,5 DIAS 
"TABLERO METALICO 55 * 1,20",330,5 DIAS 
"TABLERO METALICO 60 * 1,20",350,5 DIAS 
TABLONES 3 MTS,500,5 DIAS 
TENSORES,90,5 DIAS 
Alquileres y Equipos del Oriente Ltda. ,Alquileres y Equipos del Oriente Ltda. ,Alquileres y Equipos del Oriente Ltda. 
NOTA: A ESTOS PRECIOS SE LE ADICIONA EL IVA,NOTA: A ESTOS PRECIOS SE LE ADICIONA EL IVA,NOTA: A ESTOS PRECIOS SE LE ADICIONA EL IVA
