CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,
CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,
MOVIMIENTO:JULIO/ 2026,MOVIMIENTO:JULIO/ 2026,MOVIMIENTO:JULIO/ 2026,MOVIMIENTO:JULIO/ 2026,MOVIMIENTO:JULIO/ 2026,MOVIMIENTO:JULIO/ 2026,MOVIMIENTO:JULIO/ 2026,MOVIMIENTO:JULIO/ 2026,MOVIMIENTO:JULIO/ 2026,MOVIMIENTO:JULIO/ 2026,
CONSORCIO LA VICTORIA,SALDO,13441,13441,13437,13810,13819,13841,13879,EN OBRA,
CONSORCIO LA VICTORIA,2026-04-30,2026-06-24,2026-06-24,2026-06-24,2026-07-03,2026-07-06,2026-07-09,2026-07-27,2026-06-30,
ALINEADORES DE 6 MTROS,40,-5,,-24,,,,,11,
"FORMALETA DE 60*1,20",110,-2,,-31,,,,,77,COBRAR LA FORMALETA DE 60 NO SE RECIBIO PERO SE ANEXA PARA RECORDAR EN INVENTARIO
ALINEADORES DE 3 MTROS,8,-4,,,5,,,,9,
"FORAMLETA DE 50*1,20",50,,,-23,,,8,,35,
"FORMALETA DE 20*1,20",60,-33,,-13,,,,,14,
"FORMALETA DE 30 1,20",46,-18,-1,-20,,,,,7,COBRAR LA FORMALETA DE 30 NO SE RECIBIO PERO SE ANEXA PARA RECORDAR EN INVENTARIO
"FORMALETA DE 25*1,20",2,,,-2,,,,,,
"FORMALETA DE 10*1,20",,,,,2,,10,,12,
TENSORES ,120,,,,,,50,,170,
CHAPETAS,1500,,,,,,,,1500,
CAJA METALICA,5,,,,,,,,5,
"RINCONERAS 10*10*1,20",2,-1,,,3,,6,,10,
"ANGULOS DE 1,20",8,,,,,8,8,44,68,
PARALES DE 4 MTROS,80,-52,,,,,,50,78,
PARALES DE 1 MTRO,40,,,,,,,,40,
PINES,700,,,,,,,,700,
ANGULOS DE 60,,,,,,,16,44,60,
Hora,,3:30PM,,08:20,07:50,09:45,01:30,02:30,,
TRANSPORTE,,80000,,80000,30000,LSP-YIA ,JAVIER,60000,,
