ELIAS RIOS ,ELIAS RIOS ,ELIAS RIOS ,ELIAS RIOS ,ELIAS RIOS ,ELIAS RIOS 
SANTOS BAJOS ,SANTOS BAJOS ,SANTOS BAJOS ,SANTOS BAJOS ,SANTOS BAJOS ,SANTOS BAJOS 
MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026
MATERIAL,13855,,,,SALDO
,2026-07-16,,,,2026-05-31
"FORMALETA DE 30*1,20",8,,,,8
"FORMALET DE 25*1,20",8,,,,8
"ANGULOS DE 2,40",8,,,,8
CHAPETAS ,100,,,,100
PARALES DE 3 MTROS,6,,,,6
HORA,11:16,,,,
Transporte,COA-566,,,,
