HERNAN TORRADO,HERNAN TORRADO,HERNAN TORRADO,HERNAN TORRADO,HERNAN TORRADO,HERNAN TORRADO,HERNAN TORRADO,HERNAN TORRADO,HERNAN TORRADO,HERNAN TORRADO,HERNAN TORRADO,HERNAN TORRADO,HERNAN TORRADO,HERNAN TORRADO,HERNAN TORRADO,HERNAN TORRADO,,,
CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,CRA 18 CON CALLE 8,,,
MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,,,
MATERIAL,SALDO,13459,13809,13809,13815,13820,13820,13833,13479,13488,13864,13514,13515,13880,SALDO ,,,
,JUNIO,2026-07-02,2026-07-02,2026-07-02,2026-07-03,2026-07-06,2026-07-06,2026-07-08,2026-07-08,2026-07-11,2026-07-18,2026-07-24,2026-07-24,2026-07-27,2026-07-25,,,
PARALES DE 4 MTROS ,2,-2,,,,2,,,,,,,-2,,,,,
PARAL DE 3 MTROS ,,,,,1,,-1,,,,,,,,,,,
"MARCOS DE ANDAMIOS 1,50",4,,,,,,,,,,6,-8,,,2,,,
"CRUCETAS DE 2,40",6,,,,,,,,,-2,6,-8,,,2,,,
TABLONES DE 3 MTROS GRUESOS,3,,,,,,,,,-1,5,-2,-4,,1,,,
"MARCOS DE ANDAMIOS DE  0,90*2 MTROS ",,,2,-2,,,,,,,,,,,,,,
"CRUCETAS DE 2,40",,,2,-2,,,,,,,,,,,,,,
SLINGAS CON GANCHO,1,,,,,,,,,,,,-1,,,,,
RUEDAS DE ANDAMIOS,4,,,,,,,,,,,,-4,4,4,,,
ESCALERA DE TIJERA VERDE,,,,,,,,1,-1,,,,,,,,, 
POLEAS COLGANTES ,3,-1,,,,,,,,-2,,,,,,,,
"TABLEROS DE MADERA DE 70*1,40",5,,,,,,-2,,,-3,,,,,,,,
PASAMANOS DE 6 MTROS ,2,,,,,,-2,,,,,,,,,,,
ANGULOS DE 6 MTROS ,4,,,,,,-4,,,,,,,,,,,
HORA,1900-01-31,11:20,10:30,03:41,11:10,02:00,02:00,09:10,04:46,09:50,09:50,10:20,03:45,03:40,,,,
Transporte,,***,A PIE,A PIE,A PIE,,20000,A PIE,A PIE,20000,zorra,CAMIONETA,20000,CARRO,,,,A
PAGO HASTA EL 24 DE JULIO 2026,,,,,,,,,,,,,,,,,,
