PRODUCTOS ALINA ,PRODUCTOS ALINA ,PRODUCTOS ALINA ,PRODUCTOS ALINA ,PRODUCTOS ALINA ,PRODUCTOS ALINA 
CRA 19 #5-21,CRA 19 #5-21,CRA 19 #5-21,CRA 19 #5-21,CRA 19 #5-21,CRA 19 #5-21
MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026
MATERIAL,13867,13517,,,SALDO 
,2026-07-21,2026-07-25,,,2026-07-31
"MARCOS DE ANDAMIOS 1,50",4,-4,,,
"CRUCETAS DE 2,40",4,-4,,,
TABLONES DE MADERA ,2,-2,,,
HORA,04:00,09:15,,,
Transporte,8000,8000,,,16000
