ROSA ,ROSA ,ROSA ,ROSA ,ROSA ,ROSA ,ROSA 
INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA
MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026,MOVIMIENTO: JULIO/2026
MATERIAL,13873,13509,,,,SALDO 
,2026-07-23,2026-07-27,,,,2026-07-31
"FORMALETA DE 35*1,20",12,-12,,,,
"FORMALETA DE 30*1,20",12,-12,,,,
ANGULOS DE 60,16,-16,,,,
"ANGULS DE 1,20",12,-12,,,,
CHAPETAS ,260,-260,,,,
PARALES DE 4 MTRO,12,-12,,,,
CAJA METALICA ,1,-1,,,,
HORA,07:00,09:50,,,,0.7013888888888888
Transporte,60000,60000,,,,120000
