BIOCOMBUSTIBLE ,BIOCOMBUSTIBLE ,BIOCOMBUSTIBLE ,BIOCOMBUSTIBLE ,BIOCOMBUSTIBLE ,BIOCOMBUSTIBLE 
CRA 17 #7-84  TEL: 3187003374,CRA 17 #7-84  TEL: 3187003374,CRA 17 #7-84  TEL: 3187003374,CRA 17 #7-84  TEL: 3187003374,CRA 17 #7-84  TEL: 3187003374,CRA 17 #7-84  TEL: 3187003374
MOVIMIENTO:JUNIO 16 AL 24 /2026,MOVIMIENTO:JUNIO 16 AL 24 /2026,MOVIMIENTO:JUNIO 16 AL 24 /2026,MOVIMIENTO:JUNIO 16 AL 24 /2026,MOVIMIENTO:JUNIO 16 AL 24 /2026,MOVIMIENTO:JUNIO 16 AL 24 /2026
MATERIAL,13713,13442,,,SALDO
,2026-06-16,2026-06-25,,,2026-04-30
"MARCOS DE ANDAMIOS 0,90*2MTROS",4,-4,,,
"CRUCETAS DE 2,4",3,-3,,,
"TABLONES DE MADERA 70*1,40",5,-5,,,
RUEDAS NIVELADORAS ,4,-4,,,
HORA,10:10,10:001,,,
Transporte,SRF-520,SRF-520,,,
,,,,,
,,,,,
BIOCOMBUSTIBLE,BIOCOMBUSTIBLE,BIOCOMBUSTIBLE,BIOCOMBUSTIBLE,BIOCOMBUSTIBLE,BIOCOMBUSTIBLE
CALLE 19 CON CRA 20,CALLE 19 CON CRA 20,CALLE 19 CON CRA 20,CALLE 19 CON CRA 20,CALLE 19 CON CRA 20,CALLE 19 CON CRA 20
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO
"MARCOS DE ANDAMIOS 0,90*2MTROS",9,2,2000,4000,36000
TABLONES CORTOS ,9,5,1000,5000,45000
RUEDAS NIVELADORES,9,4,850,3400,30600
JUNIO 16 AL 24,JUNIO 16 AL 24,TOTAL DIAS ,TOTAL DIAS ,111600,
JUNIO 16 AL 24,JUNIO 16 AL 24,IVA 19 %,IVA 19 %,21204,
JUNIO 16 AL 24,JUNIO 16 AL 24,,,132804,
DEPOSITO,,,N EQUI,300000,
A DEVOLVER,,2026-06-27,NEQUI,-167196,
