TEJIDO ARQUITECTONICO,TEJIDO ARQUITECTONICO,TEJIDO ARQUITECTONICO,TEJIDO ARQUITECTONICO,TEJIDO ARQUITECTONICO,,
CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108,,
MOVIMIENTO: MAYO 10 A JULIO 5/2026,MOVIMIENTO: MAYO 10 A JULIO 5/2026,MOVIMIENTO: MAYO 10 A JULIO 5/2026,MOVIMIENTO: MAYO 10 A JULIO 5/2026,MOVIMIENTO: MAYO 10 A JULIO 5/2026,,
MATERIAL,SALDO,13339,13420,MATERIAL EN OBRA,,
,2026-05-10,2026-06-13,2026-06-20,2026-07-06,,
"MARCOS DE ANDAMIOS AZULES DE 1,50",26,-18,-8,,,
"CRUCETAS DE 2,40",25,-18,-5,2,,
TABLONES DE 3 MTROS,19,-8,-7,4,,
RUEDAS NIVELADORAS ,4,-4,,,,
Transporte,,60000,40000,100000,,
,,,,,,
,,,,,,
ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348
TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO
WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 
SECCIONES DE ANDAMIOS ,34,14,1400,19600,666400,MAYO 11 A JUNIO 13/ 2026
SECCIONES DE ANDAMIOS ,7,4,1400,5600,39200,JUNIO 14 AL 20
TABLONES DE 3 METROS,34,19,1400,26600,904400,MAYO 11 A JUNIO 13/ 2026
TABLONES DE 3 METROS,7,11,1400,15400,107800,JUNIO 14 AL 20
TABLONES DE 3 METROS,15,4,1400,5600,84000,JUNIO 21 A JULIO 5
RUEDAS NIVELADORAS,34,4,800,3200,108800,MAYO 11 A JUNIO 13/ 2026
MAYO 11 A JULIO 5 2026,MAYO 11 A JULIO 5 2026,DIAS,DIAS,1910600,,
MAYO 11 A JULIO 5 2026,MAYO 11 A JULIO 5 2026,IVA 19 %,IVA 19 %,363014,,
MAYO 11 A JULIO 5 2026,MAYO 11 A JULIO 5 2026,TRANSPORTE,TRANSPORTE,100000,,
MAYO 11 A JULIO 5 2026,MAYO 11 A JULIO 5 2026, GRANTOTAL, GRANTOTAL,2373614,,
