BIOCOMBUSTIBLE ,BIOCOMBUSTIBLE ,BIOCOMBUSTIBLE ,BIOCOMBUSTIBLE ,BIOCOMBUSTIBLE ,BIOCOMBUSTIBLE ,BIOCOMBUSTIBLE 
CRA 17 #7-84  TEL: 3187003374,CRA 17 #7-84  TEL: 3187003374,CRA 17 #7-84  TEL: 3187003374,CRA 17 #7-84  TEL: 3187003374,CRA 17 #7-84  TEL: 3187003374,CRA 17 #7-84  TEL: 3187003374,CRA 17 #7-84  TEL: 3187003374
MOVIMIENTO:JUNIO /2026,MOVIMIENTO:JUNIO /2026,MOVIMIENTO:JUNIO /2026,MOVIMIENTO:JUNIO /2026,MOVIMIENTO:JUNIO /2026,MOVIMIENTO:JUNIO /2026,MOVIMIENTO:JUNIO /2026
MATERIAL,13713,13442,,,,SALDO
,2026-06-16,2026-06-25,,,,2026-04-30
"MARCOS DE ANDAMIOS 0,90*2MTROS",4,-4,,,,
"CRUCETAS DE 2,4",3,-3,,,,
TABLONES DE MADERA CORTOS,5,-5,,,,
RUEDAS NIVELADORAS ,4,-4,,,,
HORA,10:10,10:00,,,,0.8402777777777778
Transporte,SRF-520,SRF-520,,,,
