CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,CESAR AUGUSTO,,,,
PUERTO RICO,PUERTO RICO,PUERTO RICO,PUERTO RICO,PUERTO RICO,PUERTO RICO,PUERTO RICO,PUERTO RICO,PUERTO RICO,,,,
MOVIMIENTO: JUNIO/2026,MOVIMIENTO: JUNIO/2026,MOVIMIENTO: JUNIO/2026,MOVIMIENTO: JUNIO/2026,MOVIMIENTO: JUNIO/2026,MOVIMIENTO: JUNIO/2026,MOVIMIENTO: JUNIO/2026,MOVIMIENTO: JUNIO/2026,MOVIMIENTO: JUNIO/2026,,,,
MATERIAL,13797,13701,13404,13413,13746,13750,,SALDO,,,,
,2026-06-10,2026-06-12,2026-06-16,2026-06-18,2026-06-30,2026-06-30,,2026-06-30,,,,
"FORMALETA DE 30*1,20",44,,-44,,,,,,,,,
"FORMALETA DE 60*1,20",4,6,-4,-6,40,10,,50,,,,
"FORMALETA DE 15*1,20",,,,,,23,,23,,,,
"FORMALETA DE 12*1,20",,,,,,11,,11,,,,
"ANGULOS DE 1,20",28,,-28,,,,,,,,,               
ANGULOS DE 60,20,,-20,,,,,,,,,
PARALES DE 3 MTROS ,16,,-16,,,,,,,,,
CHAPETAS ,500,,-496,-4,,200,,200,,,,
CAJA METALICA,1,,-1,,,1,,1,,,,
"FORMALETA DE 20*1,20",,18,-18,,,,,,,,,
"FORMALETA DE 25*1,20",,14,-14,,,,,,,,,
CERCHAS DE 3 MTROS ,,,,,14,10,,24,,,,
CERCHAS DE 2 MTROS ,,,,,,12,,12,,,,
PARALES DE 4 MTROS ,,,,,30,55,,85,,,,
HORA,03:30,02:00,,03:00,03:40,03:00,,0.6319444444444444,,,,
Transporte,60000,60000,80000,30000,CTZ,CTZ,,230000,,,,
