KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,,,
CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,,,
MOVIMIENTO:JUNIO 1 AL 30,MOVIMIENTO:JUNIO 1 AL 30,MOVIMIENTO:JUNIO 1 AL 30,MOVIMIENTO:JUNIO 1 AL 30,MOVIMIENTO:JUNIO 1 AL 30,MOVIMIENTO:JUNIO 1 AL 30,MOVIMIENTO:JUNIO 1 AL 30,MOVIMIENTO:JUNIO 1 AL 30,,,
MATERIAL,SALDO,13778,13730,13428,13737,,SALDO,,,
,2026-05-31,2026-06-03,2026-06-22,2026-06-22,2026-06-25,,2026-07-01,,,
"FORMALETA DE 30*1,20",1,,,,,,1,,,
ANGULOS DE 60,1,4,,-4,,,1,,, 
ALINEADOR DE 1 MTRO,1,,,-1,,,,,,
PARALES DE 4 MTRS,2,,,,,,2,,,
BASE DE PARAL DE 3 MTROS ,2,,,,,,2,,,
"FORMALETA DE 60*1,20",,20,,-20,,,,,,
"FORMALETA DE 40*1,20",,10,,-10,,,,,,
"ANGULOS DE 1,20",,5,,-5,,,,,,
CHAPETAS ,,300,,-300,,,,,,
ALINEADOR DE 4 MTROS ,,8,,,,,8,,,
TENSORES,,40,,-40,,,,,,
"FORMALETA DE 20*1,20",,,21,,,,21,,,
PARALES DE 6 MTROS ,,,,,10,,10,,,
CAJA METALICA,,1,,-1,,,,,,
HORA,,04:00,09:04,01:35,09:20,,,,,
Transporte,,AWG-768,CWG-768,CWG-768,RDR-416,,,,,
,,,,,,,,,,
MATERIAL NO ENTREGADO,CANTIDAD ,VALOR ,TOTAL,,,,,,,
,,UNITARIO ,,,,,,,,
"FORMALETA DE 30*1,20",1,140000,140000,,,,,,,
ANGULO DE 60,1,12000,12000,,,,,,,
PARAL DE 4 MTROS,2,180000,360000,,,,,,,
BASE DE PARAL ,2,100000,200000,,,,,,,
TOTAL MATERIAL A LA FECHA,712000,712000,712000,,,,,,,
