FELIZ CARRILLO,FELIZ CARRILLO,FELIZ CARRILLO,FELIZ CARRILLO,FELIZ CARRILLO,FELIZ CARRILLO
RADIO TAXIX LIBRES,RADIO TAXIX LIBRES,RADIO TAXIX LIBRES,RADIO TAXIX LIBRES,RADIO TAXIX LIBRES,RADIO TAXIX LIBRES
MOVIMIENTO: JUNIO/2026,MOVIMIENTO: JUNIO/2026,MOVIMIENTO: JUNIO/2026,MOVIMIENTO: JUNIO/2026,MOVIMIENTO: JUNIO/2026,MOVIMIENTO: JUNIO/2026
MATERIAL,13726,,,,SALDO
,2026-06-19,,,,2026-03-31
MARCOS DE ANDAMIOS  AMARILLOS ,4,,,,4
CRUCETAS DE 2 MTROS ,4,,,,4
RUEDAS DE ANDAMIOS ,4,,,,4
TABLONES CORTOS ,2,,,,2
HORA,10:50,,,,
Transporte,ZORRA ,,,,
