LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,LUDWIN ANGULO DIAZ /ESPOSO ROSA,,,,,
INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,INDEPENDENCIA,,,,,
,,,,,,,,,,,,,,,,,,,,,
 ,SALDO ,13787,13789,13791,13795,13793,13799,13396,13729,13430,13445,13446,13448,13743,13451,SALDO,,,,,
MATERIAL,2026-05-31,2026-06-09,2026-06-09,2026-06-09,2026-06-10,2026-06-10,2026-06-12,2026-06-12,2026-06-22,2026-06-22,2026-06-26,2026-06-26,2026-06-26,2026-06-27,2026-06-27,2026-06-30,PESO,,,,
MARCOS DE ANDAMIOS ,2,,,,,,,,,,,,,,-2,,20,,,,
"CRUCETAS DE 2,40",2,,,,,,,,,,,,,,-2,,,,,,
TABLONES DE 3 MTROS ,2,,,,,,,,,,,,,,-2,,19,,,,
"FORMALETA DE 60*1,20",,18,20,48,14,40,,-12,,,-14,-26,-32,-32,-23,1,26,26,,,
PARALES DE 4 MTROS ,,30,40,20,10,,,,,-19,-20,-17,-12,-20,-12,,17.5,,,,
"PARALES DE 3,5",,,,,,20,,,,,-4,-7,,,-9,,18.5,,,,
CERCHAS DE 3 MTROS ,,21,13,,,,,,,-2,-3,-5,-8,-8,-8,,29,,,,
CHAPETAS CUADRADAS ,,200,400,,500,400,,,,-478,,,,,-1021,1,0.1,0.1,,,
CAJAS METALICAS,,1,2,,2,2,,,,-3,,,,,-4,,5,,,,
"FORMALETA DE 15*1,20",,,4,,,31,5,,,-22,-2,-3,-4,-2,-7,,7,,,,
CERCHAS DE 2 MTROS ,,,,8,,,,,,,,-4,-1,,-3,,15,,,,
FORMALETA DE 60*60,,,,,8,,,-3,,-1,,-1,-1,-1,-1,,14,,,,10/0
ALINEADORES DE 6 MTROS ,,,,,8,,,,,,,-3,-1,,-4,,27,,,,
TENSORES ,,,,,30,,,,,-11,,,,,-19,,0.2,,,,
"ANGULOS DE 1,20",,,,,20,,,,18,,-28,,-4,,-6,,3,,,,
"FORMALETAS DE 20*1,20",,,,,8,,3,,,,-3,-1,-3,,-4,,9.5,,,,
"FORMALETA DE 10*1,20",,,,,8,,,-5,,,,-1,,-1,-1,,6,,,,
"TABLEROS DE MADERA 70*1,40",,,,,6,,,,,,,-3,,,-3,,25,,,,
FORMALETA DE 25*60,,,,,,,2,,6,,-6,,,,-2,,7,,,,
FORMALETA DE 40*60,,,,,,,1,,3,,-4,,,,,,9,,,,
FORMALETA DE 25*120,,,,,,,2,,12,,-12,,,-2,,,11,,,,
"FORMALETA DE 30*1,20",,,,,,,2,,,,,,,-2,,,13.5,,,,
"FORAMLETA DE 40*1,20",,,,,,,2,,12,,-13,-1,,,,,18.5,,,,
FORMALETA DE 40*40,,,,,,,,,2,,-2,,,,,,8,,,,
FORMALETA DE 20*40,,,,,,,,,2,,,,,-2,,,5,,,,
ANGULOS DE 60,,,,,,,,,12,,-12,,,,,,1,,,,
"CERCHA DE 1,50",,,,,,,1,,,,-1,,,,,,13,,,,
HORA,,09:50,09:50,02:20,10:30,11:30,08:00,07:40,09:00,03:30,10:00,01:30,04:10,07:58,,,,,,,
Transporte,,60000,60000,60000,60000,,40000,****,40000,40000,60000,60000,60000,60000,,600000,,26.1,1700,0.015352941176470588,
,,,,,,,,,,,,,,,,,,,,5 VIAJES,
