MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL ,MAESTRO VIDAL 
MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759,MIRADORES DE LA UIS TEL: 3138758759
MOVIMIENTO:JUNIO /2026,MOVIMIENTO:JUNIO /2026,MOVIMIENTO:JUNIO /2026,MOVIMIENTO:JUNIO /2026,MOVIMIENTO:JUNIO /2026,MOVIMIENTO:JUNIO /2026,MOVIMIENTO:JUNIO /2026
MATERIAL,13711,13712,13457,,,SALDO
,2026-06-16,2026-06-16,2026-06-30,,,2026-06-30
CERCHAS DE 3 MTROS PLATINA,10,11,-21,,,
"TABLEROS DE MADERA DE 70*1,4",35,35,-69,,,1
PARALES DE 3 MTROS,33,32,-65,,,
"BANDAS DE 40*1,40",9,9,-14,,,4
HORA,08:30,10:15,11:15,,,1.25
Transporte,80000,80000,,,,160000
