SERGIO /LUIS MARTIN FORERO,SERGIO /LUIS MARTIN FORERO,SERGIO /LUIS MARTIN FORERO,SERGIO /LUIS MARTIN FORERO,SERGIO /LUIS MARTIN FORERO,SERGIO /LUIS MARTIN FORERO,SERGIO /LUIS MARTIN FORERO,SERGIO /LUIS MARTIN FORERO,SERGIO /LUIS MARTIN FORERO,SERGIO /LUIS MARTIN FORERO,,
MIRADORES DE LA UIS ,MIRADORES DE LA UIS ,MIRADORES DE LA UIS ,MIRADORES DE LA UIS ,MIRADORES DE LA UIS ,MIRADORES DE LA UIS ,MIRADORES DE LA UIS ,MIRADORES DE LA UIS ,MIRADORES DE LA UIS ,MIRADORES DE LA UIS ,,
MOVIMIENTO: JUNIO /2026,MOVIMIENTO: JUNIO /2026,MOVIMIENTO: JUNIO /2026,MOVIMIENTO: JUNIO /2026,MOVIMIENTO: JUNIO /2026,MOVIMIENTO: JUNIO /2026,MOVIMIENTO: JUNIO /2026,MOVIMIENTO: JUNIO /2026,MOVIMIENTO: JUNIO /2026,MOVIMIENTO: JUNIO /2026,,
MATERIAL,13764,13768,13773,13703,13416,13470,13474,13477,SALDO,,
,2026-06-01,2026-06-02,2026-06-02,2026-06-12,2026-06-19,2026-07-06,2026-07-07,2026-07-08,2026-06-30,,
CERCHAS DE 3 MTROS ,21,,5,,,,,-26,,29,
"FORMALETA DE 60*1,20",28,56,14,,,-34,-64,,,26,
"PARALES DE 3,5",40,,40,,,-47,,-33,,15.5,
CHAPETAS,200,400,200,300,-300,-300,,-500,,0.15,
"FORMALETA DE 30*1,20",,10,,5,,-11,-4,,,13.5,
"FORMALETA DE 50*1,20",,7,3,,,-4,-6,,,21,
"FORMALETA DE 15*1,20",,31,,4,,-30,-5,,,9.5,
"FORMALETA DE 20*1,20",,10,,,,-2,-8,-2,-2,9.5,-19
CAJA METALICA ,,1,1,,,,,-1,1,1,1
VALDE PLASTICO,,1,,,,-1,,,,0.5,
ANGULOS DE 60,,,,32,-32,,,,,1,
"ANGULOS DE 1,20",,,,16,-16,,,,,3,
"FORMALETA DE 35*1,20",,,,4,-4,,,,,15.5,
VALDES PLASTIOS ,,,,2,,-2,,,,1,
HORA,10:30,08:00,01:15,03:30,08:30,01:50,10:40,07:20,,,-18
Transporte,,,,45000,45000,ctz,ctz,ctz,90000,"pendiente registrar 4 lata de 25*1,20",
