TEJIDO ARQUITECTONICO,TEJIDO ARQUITECTONICO,TEJIDO ARQUITECTONICO,TEJIDO ARQUITECTONICO,TEJIDO ARQUITECTONICO,TEJIDO ARQUITECTONICO,TEJIDO ARQUITECTONICO,TEJIDO ARQUITECTONICO,TEJIDO ARQUITECTONICO,
CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108,CRA 38 #41-108,
MOVIMIENTO: ENERO 20 A JUNIO 30/2026,MOVIMIENTO: ENERO 20 A JUNIO 30/2026,MOVIMIENTO: ENERO 20 A JUNIO 30/2026,MOVIMIENTO: ENERO 20 A JUNIO 30/2026,MOVIMIENTO: ENERO 20 A JUNIO 30/2026,MOVIMIENTO: ENERO 20 A JUNIO 30/2026,MOVIMIENTO: ENERO 20 A JUNIO 30/2026,MOVIMIENTO: ENERO 20 A JUNIO 30/2026,MOVIMIENTO: ENERO 20 A JUNIO 30/2026,
MATERIAL,SALDO,13339,13344,13346,13158,13339,13420,MATERIAL EN OBRA,
,2026-01-20,2026-02-03,2026-02-03,2026-02-04,2026-03-07,2026-06-13,2026-06-20,2026-03-08,
"MARCOS DE ANDAMIOS AZULES DE 1,50",2,20,4,,-20,-2,-4,,
"CRUCETAS DE 2,40",1,20,4,,-13,-12,,,
"MARCOS DE ANDAMIOS AMARILLOS 1,50",,6,,,,-6,,,
"CRUCETAS DE 2,40 ",,6,,,,,-5,1,
MARCOS DE ANDAMIOS NARANAJAS ,,4,,,,,-4,,AZULES
"CRUCETAS DE 2,40",,4,,,,-3,,1,
TABLONES DE 3 MTROS,6,,8,10,-8,-8,-7,1,
MARCOS DE ANDAMIOS (CG),,,,10,,-10,,,
CRUCETAS (CG),,,,10,-7,-3,,,
RUEDAS NIVELADORAS ,,,,4,,-4,,,
PLATAFORMAS DE 3 METROS,2,,,,-2,,,,
HORA,,09:20,01:30,08:00,09:30,09:00,07:40,,
Transporte,,60000,******,50000,40000,60000,40000,250000,
,,,,,,,,,
MARCOS DE ANDAMIO  1.50*1.50,MARCOS DE ANDAMIO  1.50*1.50,MARCOS DE ANDAMIO  1.50*1.50,MARCOS DE ANDAMIO  1.50*1.50,MARCOS DE ANDAMIO  1.50*1.50,MARCOS DE ANDAMIO  1.50*1.50,MARCOS DE ANDAMIO  1.50*1.50,,,
FECHA ,HORA,RELACION ,Préstamo o Salida,Devolución ó Entrada,TOTAL ,REFERENCIA,,,
2026-12-31,,8,,,8,,,,
2026-02-04,04:00,974,20,,,,,,
2026-02-04,08:01,901,6,,,,,,
2026-02-16,03:36,910,,20,,,,,
2026-02-23,AM,928,,2,,,,,
2026-02-26,02:02,940,5,,,JEISON  BARBA,,,
2026-03-11,02:37,1116,,5,,,,,
2026-06-02,08:12,1539,7,,,HERNAN TORRRADO,,,
2026-06-02,08:12,1539,7,,,HERNAN  TORRADO,,,
2026-06-09,11:20,1345,,14,,HERNA TORRADO,,,
,,,,,4,,,,
