CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA
CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA
MOVIMIENTO:MAYO 1 AL31/ 2026,MOVIMIENTO:MAYO 1 AL31/ 2026,MOVIMIENTO:MAYO 1 AL31/ 2026,MOVIMIENTO:MAYO 1 AL31/ 2026,MOVIMIENTO:MAYO 1 AL31/ 2026,MOVIMIENTO:MAYO 1 AL31/ 2026,MOVIMIENTO:MAYO 1 AL31/ 2026
MATERIAL,SALDO,,,,,EN OBRA
MATERIAL,2026-04-30,,,,,2026-05-31
ALINEADORES DE 6 MTROS,40,,,,,40
"FORMALETA DE 60*1,20",110,,,,,110
ALINEADORES DE 3 MTROS,8,,,,,8
"FORAMLETA DE 50*1,20",50,,,,,50
"FORMALETA DE 20*1,20",60,,,,,60
"FORMALETA DE 30 1,20",46,,,,,46
"FORMALETA DE 25*1,20",2,,,,,2
TENSORES ,120,,,,,120
CHAPETAS,1500,,,,,1500
CAJA METALICA,5,,,,,5
"RINCONERAS 10*10*1,20",2,,,,,2
"ANGULOS DE 1,20",8,,,,,8
PARALES DE 4 MTROS,80,,,,,80
PARALES DE 1 MTRO,40,,,,,40
PINES,700,,,,,700
Hora,,,,,,
TRANSPORTE,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,
CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,
MAYO 1 AL 31 DE 2026,MAYO 1 AL 31 DE 2026,MAYO 1 AL 31 DE 2026,MAYO 1 AL 31 DE 2026,MAYO 1 AL 31 DE 2026,MAYO 1 AL 31 DE 2026,
RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,
"FORMALETA DE 60*1,20",31,110,450,49500,1534500,
"FORMALETA DE 20*1,20",31,60,280,16800,520800,
"FORMALETA DE 50*1,20",31,50,360,18000,558000,
FORMALETA DE 25*120,31,2,340,680,21080,
"FORMALETA DE 30*1,20",31,46,350,16100,499100,
ALINEADOR DE 6 MTRS,31,40,600,24000,744000,
ALINEADOR DE 3 MTROS,31,8,400,3200,99200,
TENSORES ,31,120,120,14400,446400,
CHAPETAS ,31,1500,28,42000,1302000,
ANGULOS DE 1.20,31,8,120,960,29760,
"RINCONERAS DE 10*10*1,20",31,2,320,640,19840,
PARALES DE 4 MTROS ,31,80,250,20000,620000,
PARALES DE 1 MTRO,31,40,200,8000,248000,
PINES ,31,700,25,17500,542500,
MAYO 1 AL 31/ 2026,MAYO 1 AL 31/ 2026,TOTAL DIARIO IVA INCLUIDO,TOTAL DIARIO IVA INCLUIDO,275818.2,,
MAYO 1 AL 31/ 2026,MAYO 1 AL 31/ 2026,ALQUILER 31 DIAS SIN IVA,ALQUILER 31 DIAS SIN IVA,7185180,,
MAYO 1 AL 31/ 2026,MAYO 1 AL 31/ 2026,IVA ,IVA ,1365184.2,,
MAYO 1 AL 31/ 2026,MAYO 1 AL 31/ 2026,TOTAL ALQUILER,TOTAL ALQUILER,8550364.2,,
