TEJIDO ARQUITECTONICO S.A.S,TEJIDO ARQUITECTONICO S.A.S,TEJIDO ARQUITECTONICO S.A.S,TEJIDO ARQUITECTONICO S.A.S,TEJIDO ARQUITECTONICO S.A.S,TEJIDO ARQUITECTONICO S.A.S,
CRA 38 #41-108 TEL:3026565476,CRA 38 #41-108 TEL:3026565476,CRA 38 #41-108 TEL:3026565476,CRA 38 #41-108 TEL:3026565476,CRA 38 #41-108 TEL:3026565476,CRA 38 #41-108 TEL:3026565476,
MOVIMIENTO: MARZO7 A MAYO 10/2025,MOVIMIENTO: MARZO7 A MAYO 10/2025,MOVIMIENTO: MARZO7 A MAYO 10/2025,MOVIMIENTO: MARZO7 A MAYO 10/2025,MOVIMIENTO: MARZO7 A MAYO 10/2025,MOVIMIENTO: MARZO7 A MAYO 10/2025,
MATERIAL,SALDO,,,,SALDO,
,2026-03-07,,,,2026-05-10,
"MARCOS DE ANDAMIOS AZULES DE 1,50",6,,,,6,
"CRUCETAS DE 2,40",12,,,,12,
"MARCOS DE ANDAMIOS AMARILLOS 1,50",6,,,,6,
"CRUCETAS DE 2,40 ",6,,,,6,
MARCOS DE ANDAMIOS NARANAJAS ,4,,,,4,
"CRUCETAS DE 2,40",4,,,,4,
TABLONES DE 3 MTROS,16,,,,16,
MARCOS DE ANDAMIOS (CG),10,,,,10,
CRUCETAS (CG),3,,,,3,
RUEDAS NIVELADORAS ,4,,,,4,
HORA,09:20,,,,,
Transporte,,,,,,
,,,,,,
ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348,ANDRES MONTASGUFF: 3163225348
TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO,TEJIDO URBANO
WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 ,WILSON MORENO: 3007009408CRA 38#41-108 
SECCIONES DE ANDAMIOS ,65,13,1400,18200,1183000,MARZO 7 A MAYO 10
TABLONES DE 3 METROS,65,16,1400,22400,1456000,MARZO 7 A MAYO 10
RUEDAS NIVELADORAS,65,4,800,3200,208000,MARZO 7 A MAYO 10
MARZO 7 A MAYO 10,MARZO 7 A MAYO 10,TOTAL DIARIO,TOTAL DIARIO,52122,,
MARZO 7 A MAYO 10,MARZO 7 A MAYO 10,DIAS,DIAS,2847000,,
MARZO 7 A MAYO 10,MARZO 7 A MAYO 10,IVA 19 %,IVA 19 %,540930,,
MARZO 7 A MAYO 10,MARZO 7 A MAYO 10,,,,,
MARZO 7 A MAYO 10,MARZO 7 A MAYO 10, GRANTOTAL, GRANTOTAL,3387930,,
