ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER
CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059
MOVIMIENTO: FEBRERO/ 2026,MOVIMIENTO: FEBRERO/ 2026,MOVIMIENTO: FEBRERO/ 2026,MOVIMIENTO: FEBRERO/ 2026,MOVIMIENTO: FEBRERO/ 2026,MOVIMIENTO: FEBRERO/ 2026,MOVIMIENTO: FEBRERO/ 2026
MATERIAL,SALDO,13414,13133,,,SALDO 
MATERIAL,2026-01-31,2026-02-25,2026-02-26,,,2026-02-28
"FORMALETA DE 55*1,20",8,,-8,,,
"TABLEROS DE MADERA DE 70*1,40",26,,,,,26
"FORMALETA DE 12*1,20",,12,,,,12
HORA,,10:40,09:40,,,
TRANSPORTE,,TTU-924,TTU-924,,,
,,,,,,
,,,,,,
JIMMY JAIMES CORREGIDO,JIMMY JAIMES CORREGIDO,JIMMY JAIMES CORREGIDO,JIMMY JAIMES CORREGIDO,JIMMY JAIMES CORREGIDO,JIMMY JAIMES CORREGIDO,JIMMY JAIMES CORREGIDO
ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER
PERIODO:FEBRERO 2026,PERIODO:FEBRERO 2026,PERIODO:FEBRERO 2026,PERIODO:FEBRERO 2026,PERIODO:FEBRERO 2026,PERIODO:FEBRERO 2026,PERIODO:FEBRERO 2026
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,VALOR ,
"FORMALETA DE 55*1,20",25,8,300,2400,60000,FEBRERO 1 AL 25
"TABLEROS DE MADERA 70*1,40",28,26,200,5200,145600,FEBRERO 1 AL 28
"FORMALETA DE12*1,20",4,12,250,3000,12000,FEBRERO 25 AL 28
FEBRERO 1 AL 28,FEBRERO 1 AL 28,,,205600,,
,,,,,,
ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER
CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059
MOVIMIENTO: MARZO 1 AL 31/ 2026,MOVIMIENTO: MARZO 1 AL 31/ 2026,MOVIMIENTO: MARZO 1 AL 31/ 2026,MOVIMIENTO: MARZO 1 AL 31/ 2026,MOVIMIENTO: MARZO 1 AL 31/ 2026,MOVIMIENTO: MARZO 1 AL 31/ 2026,MOVIMIENTO: MARZO 1 AL 31/ 2026
MATERIAL,SALDO,13221,,,,SALDO 
MATERIAL,2026-02-28,2026-03-27,,,,2026-03-31
"TABLEROS DE MADERA DE 70*1,40",26,,,,,26
"FORMALETA DE 12*1,20",12,-12,,,,
HORA,,08:00,,,,
TRANSPORTE,,TTU-924,,,,
,,,,,,
,,,,,,
JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES
ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER
PERIODO:MARZO 2026,PERIODO:MARZO 2026,PERIODO:MARZO 2026,PERIODO:MARZO 2026,PERIODO:MARZO 2026,PERIODO:MARZO 2026,PERIODO:MARZO 2026
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,VALOR ,
"TABLEROS DE MADERA 70*1,40",31,26,200,5200,161200,MARZO 1 AL31
"FORMALETA DE12*1,20",25,12,250,3000,75000,MARZO 1 AL 25
MARZO 1 AL 31,MARZO 1 AL 31,,,236200,,
,,,,,,
ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER
