DANIELA,DANIELA,DANIELA,DANIELA,DANIELA,DANIELA,DANIELA,DANIELA,DANIELA,DANIELA
 PUERTO RICOTEL:301204111, PUERTO RICOTEL:301204111, PUERTO RICOTEL:301204111, PUERTO RICOTEL:301204111, PUERTO RICOTEL:301204111, PUERTO RICOTEL:301204111, PUERTO RICOTEL:301204111, PUERTO RICOTEL:301204111, PUERTO RICOTEL:301204111, PUERTO RICOTEL:301204111
MOVIMIENTO: MAYO/2025,MOVIMIENTO: MAYO/2025,MOVIMIENTO: MAYO/2025,MOVIMIENTO: MAYO/2025,MOVIMIENTO: MAYO/2025,MOVIMIENTO: MAYO/2025,MOVIMIENTO: MAYO/2025,MOVIMIENTO: MAYO/2025,MOVIMIENTO: MAYO/2025,MOVIMIENTO: MAYO/2025
MATERIAL,13694,13699,13697,,,,,,SALDO
,2026-05-26,2026-05-27,2026-05-27,,,,,,2026-06-02
CERCHAS DE 3 MTRO PLATINA,,10,5,,,,,,15
"FORMALETA DE 40*1,20",,4,,,,,,,4
"FORMALETA DE 20*1,20",,2,,,,,,,2
"FORMALETA DE 30*1,20",48,5,,,,,,,53
"FORMALETA DE 60*1,20",,,40,,,,,,40
PARALES DE 3 MTROS,23,15,16,,,,,,54
"FORMALETA DE 10*1,20",,13,,,,,,,13
ALINEADOR DE 3 MTROS,,9,,,,,,,9
"RINCONERA DE 10*10*1,20",,7,,,,,,,7
CHAPETAS CUADRADAS,,298,400,,,,,,698
ALINEADORES DE 2 MTROS ,,3,,,,,,,3
CAJAS METALICAS,2,2,2,,,,,,6
"ANGULOS DE 2,40",19,,,,,,,,19
"ANGULO DE 1,20",5,9,,,,,,,14
ANGULO DE 60,10,18,,,,,,,28
PARALES DE 1 MTROS,432,10,,,,,,,442
TENSORES ,,84,,,,,,,84
HORA,02:40,08:20,09:30,,,,,,
Transporte,60000,80000,60000,,,,,,200000
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"JIMMY A. JAIMES CARRILLO : 72,185,935","JIMMY A. JAIMES CARRILLO : 72,185,935","JIMMY A. JAIMES CARRILLO : 72,185,935","JIMMY A. JAIMES CARRILLO : 72,185,935","JIMMY A. JAIMES CARRILLO : 72,185,935","JIMMY A. JAIMES CARRILLO : 72,185,935",,,,
ARQUITECTA DANIELA: 3012040111,ARQUITECTA DANIELA: 3012040111,ARQUITECTA DANIELA: 3012040111,ARQUITECTA DANIELA: 3012040111,ARQUITECTA DANIELA: 3012040111,ARQUITECTA DANIELA: 3012040111,,,,
PUERTO RICO PLACA HUELLA,PUERTO RICO PLACA HUELLA,PUERTO RICO PLACA HUELLA,PUERTO RICO PLACA HUELLA,PUERTO RICO PLACA HUELLA,PUERTO RICO PLACA HUELLA,,,,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,,,,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,,,,
"FORMALETA DE 30*1,20",7,48,320,15360,107520,,,,
"ANGULOS DE 2,40",7,24,200,4800,33600,,,,
CHAPETAS ,7,432,28,12096,84672,,,,
PARALES DE 3 MTROS ,7,24,200,4800,33600,,,,
"RINCONERAS 1,*10*1,20",7,7,300,2100,14700,,,,
"ANGULOS DE 2,40",7,9,200,1800,12600,,,,
"FORMALETA DE 60*1,20",7,40,400,16000,112000,,,,
"FORMALETA DE 20*1,20",7,2,300,600,4200,,,,
"FORAMLETA DE 40*1,20",7,4,340,1360,9520,,,,
"FORAMLETA DE 10*1,20",7,13,250,3250,22750,,,,
"FORMALETA DE 30*1,20",7,5,310,1550,10850,,,,
ALINEADORES DE 3 MTROS ,7,9,400,3600,25200,,,,
CERCHAS DE 3 MTROS,7,15,200,3000,21000,,,,
PARALES DE 3 MTROS ,7,30,200,6000,42000,,,,
PARALES DE 1 MTROS,7,10,180,1800,12600,,,,
ALINEADORES DE 2 MTROS ,7,3,250,750,5250,,,,
TENSORES ,7,84,110,9240,64680,,,,
CHAPETAS ,7,700,28,19600,137200,,,,
,,TOTAL DIARIO,TOTAL DIARIO,107706,,,,,
,,TOTAL DIAS ,TOTAL DIAS ,753942,,,,,
,,LLEVADA Y RECOGIDA,LLEVADA Y RECOGIDA,400000,,,,,
,,TOTAL DIAS ,TOTAL DIAS ,1153942,,,,,
RINCONERAS 10 X 10 X 120 ,5,7,300,2100,10500,,,,
VALOR TOTAL ADEUDADO,,,,1164442,,,,,
DEPOSITO,,,,1500000,,,,,
A FAVOR DEL CLIENTE,,,,-335558,,,,,
