KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,KARIME,,
CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,CRA 17 #5-35 COMUNEROS TEL: 3184228009,,
MOVIMIENTO /ABRIL/MAYO,MOVIMIENTO /ABRIL/MAYO,MOVIMIENTO /ABRIL/MAYO,MOVIMIENTO /ABRIL/MAYO,MOVIMIENTO /ABRIL/MAYO,MOVIMIENTO /ABRIL/MAYO,MOVIMIENTO /ABRIL/MAYO,MOVIMIENTO /ABRIL/MAYO,MOVIMIENTO /ABRIL/MAYO,MOVIMIENTO /ABRIL/MAYO,MOVIMIENTO /ABRIL/MAYO,MOVIMIENTO /ABRIL/MAYO,MOVIMIENTO /ABRIL/MAYO,,
MATERIAL,13573,13578,13621,13308,13316,13317,13657,13342,13686,13353,13356,SALDO,,
,2026-04-16,2026-04-20,2026-05-02,2026-05-02,2026-05-07,2026-05-07,2026-05-12,2026-05-20,2026-05-22,2026-05-28,2026-05-28,2026-05-31,,
"FORMALETA DE 60*1,20",4,20,,-4,-12,,,,,-8,,,,                                                               
"FORMALETA DE 40*1,20",3,15,,-7,-2,-9,,,15,-15,,,,
"FORMALETA DE 30*1,20",5,25,,-25,-2,,,,4,-6,,1,,
"FORMALETA DE 25*1,20",2,16,,-3,-14,,,,,-1,,,,
"FORMALETA DE 20*1,20",,,,,,,,,6,-6,,,,
"ANGULOS DE 1,20",4,20,,,,,,,,-24,,,,
ANGULOS DE 60,6,30,,,,,,,,-35,,1,,
ALINEADOR DE 1 MTRO,10,50,,,,,,,,-31,-28,1,,
TENSORES,40,198,,,,-181,,,,-57,,,,
CHAPETAS ,100,500,,,,-354,,,,-246,,,,
PARALES DE 3 MTROS,16,,14,,,,,,,-30,,,,
PARALES DE 4 MTRS,,,14,,,,,,,-12,,2,,
PARALES DE 1 MTRO,10,,,,,,,,,-10,,,,
PARALES DE 6 MTROS ,,,,,,,60,-36,,-24,,,,
CAJAS METALICAS,,2,,,,-2,,,,,,,,
HORA,04:40,07:15,08:30,11:30,07:30,02:10,11:35,04:10,02:15,07:25,02:10,,,
Transporte,BRU-315,KGX-832,CWG-768,CWG-768,CWG-768,CWG-768,WFC-486,SOZ-465,CWG-768,WFC-486,CWG-768,,,
