DISQUINAL S.A.S,DISQUINAL S.A.S,DISQUINAL S.A.S,DISQUINAL S.A.S,DISQUINAL S.A.S,DISQUINAL S.A.S,DISQUINAL S.A.S,DISQUINAL S.A.S,DISQUINAL S.A.S
CRA 24 #12-20 SANFRANCISCO EDWAR TORRES:3144429616,CRA 24 #12-20 SANFRANCISCO EDWAR TORRES:3144429616,CRA 24 #12-20 SANFRANCISCO EDWAR TORRES:3144429616,CRA 24 #12-20 SANFRANCISCO EDWAR TORRES:3144429616,CRA 24 #12-20 SANFRANCISCO EDWAR TORRES:3144429616,CRA 24 #12-20 SANFRANCISCO EDWAR TORRES:3144429616,CRA 24 #12-20 SANFRANCISCO EDWAR TORRES:3144429616,CRA 24 #12-20 SANFRANCISCO EDWAR TORRES:3144429616,CRA 24 #12-20 SANFRANCISCO EDWAR TORRES:3144429616
MOVIMIENTO: ABRIL/2025,MOVIMIENTO: ABRIL/2025,MOVIMIENTO: ABRIL/2025,MOVIMIENTO: ABRIL/2025,MOVIMIENTO: ABRIL/2025,MOVIMIENTO: ABRIL/2025,MOVIMIENTO: ABRIL/2025,MOVIMIENTO: ABRIL/2025,MOVIMIENTO: ABRIL/2025
MATERIAL,SALDO,,,,,,,SALDO
,2026-02-28,,,,,,,2026-03-31
"CRUCETAS DE 2,MTOS",1,,,,,,,1
TABLONES  3 MTROS,1,,,,,,,1
MARCOS DE ANDAMIO VERDES,0,,,,,,,
CHAPETAS ,11,,,,,,,11
TABLONES CORTOS,2,,,,,,,2
HORA,,,,,,,,
Transporte,,,,,,,,
