LADI,LADI,LADI,LADI,LADI,LADI,LADI
CRA 19#7-67,CRA 19#7-67,CRA 19#7-67,CRA 19#7-67,CRA 19#7-67,CRA 19#7-67,CRA 19#7-67
MOVIMIENTO: MAYO/2026,MOVIMIENTO: MAYO/2026,MOVIMIENTO: MAYO/2026,MOVIMIENTO: MAYO/2026,MOVIMIENTO: MAYO/2026,MOVIMIENTO: MAYO/2026,MOVIMIENTO: MAYO/2026
MATERIAL,13650,13325,13325,,,SALDO
,2026-05-11,2026-05-14,2026-05-16,,,2026-05-31
"MARCOS DE ANDAMIOS 1,50",8,-4,-4,,,
"CRUCETAS DE 2,40",8,-4,-4,,,
TABLONES DE MADERA 3 MTROS,2,,-2,,,
,,,,,,
HORA,08:45,08:09,,,,
Transporte,A PIE,A PIE,,,,25000
