POLIMYS,POLIMYS,POLIMYS,POLIMYS,POLIMYS,POLIMYS,POLIMYS,POLIMYS
CRA 16 #16-46,CRA 16 #16-46,CRA 16 #16-46,CRA 16 #16-46,CRA 16 #16-46,CRA 16 #16-46,CRA 16 #16-46,CRA 16 #16-46
MOVIMIENTO: MAYO/ 2025,MOVIMIENTO: MAYO/ 2025,MOVIMIENTO: MAYO/ 2025,MOVIMIENTO: MAYO/ 2025,MOVIMIENTO: MAYO/ 2025,MOVIMIENTO: MAYO/ 2025,MOVIMIENTO: MAYO/ 2025,MOVIMIENTO: MAYO/ 2025
MATERIAL,SALDO,13323,,,,,SALDO 
MATERIAL,31-ABR,2026-04-11,,,,,2026-05-30
ANGULOS DE 60,31,,,,,,31
CHAPETAS ,500,-500,,,,,
PARALES DE 3 MTROS ,5,,,,,,5
Hora,,08:35,,,,,
TRANSPORTE,,XKG-898,,,,,
