PRODUCTOS ALINA,PRODUCTOS ALINA,PRODUCTOS ALINA,PRODUCTOS ALINA,PRODUCTOS ALINA,PRODUCTOS ALINA,PRODUCTOS ALINA
CRA 19 #5-21 TEL: 372212472,CRA 19 #5-21 TEL: 372212472,CRA 19 #5-21 TEL: 372212472,CRA 19 #5-21 TEL: 372212472,CRA 19 #5-21 TEL: 372212472,CRA 19 #5-21 TEL: 372212472,CRA 19 #5-21 TEL: 372212472
MOVIMIENTO: MAYO/2026,MOVIMIENTO: MAYO/2026,MOVIMIENTO: MAYO/2026,MOVIMIENTO: MAYO/2026,MOVIMIENTO: MAYO/2026,MOVIMIENTO: MAYO/2026,MOVIMIENTO: MAYO/2026
MATERIAL,13645,13332,,,,SALDO
,2026-05-08,2026-05-11,,,,2026-05-31
MARCOS DE ANDAMIOS AZULES,4,-4,,,,
"CRUCETAS DE 2,40",4,-4,,,,
TABLONES DE MADERA 3 MTROS,2,-2,,,,
,,,,,,
HORA,04:35,11:20,,,,
Transporte,8000,8000,,,,25000
