ROSA ,ROSA ,ROSA ,ROSA ,ROSA ,ROSA ,ROSA 
LA INDEPENDENCIA TEL:  3011525254LUIS MAESTRO TEL.3175022723,LA INDEPENDENCIA TEL:  3011525254LUIS MAESTRO TEL.3175022723,LA INDEPENDENCIA TEL:  3011525254LUIS MAESTRO TEL.3175022723,LA INDEPENDENCIA TEL:  3011525254LUIS MAESTRO TEL.3175022723,LA INDEPENDENCIA TEL:  3011525254LUIS MAESTRO TEL.3175022723,LA INDEPENDENCIA TEL:  3011525254LUIS MAESTRO TEL.3175022723,LA INDEPENDENCIA TEL:  3011525254LUIS MAESTRO TEL.3175022723
MOVIMIENTO:MAYO /2026,MOVIMIENTO:MAYO /2026,MOVIMIENTO:MAYO /2026,MOVIMIENTO:MAYO /2026,MOVIMIENTO:MAYO /2026,MOVIMIENTO:MAYO /2026,MOVIMIENTO:MAYO /2026
MATERIAL,13658,13332,,,,SALDO
,2026-05-13,2026-05-16,,,,2026-05-31
"FORMALETA DE 30*1,20",16,-16,,,,
"FORMALETA DE 20*1,20",16,-16,,,,
CHAPETAS ,600,-600,,,,
PARALES DE 3 MTROS,20,-20,,,,
"ANGULOS DE 1,20",14,-14,,,,
ANGULOS DE 60,28,-28,,,,
"ANGULOS DE 2,40",2,-2,,,,
CAJAS METALICAS,1,-1,,,,
HORA,07:30,10:00,,,,
Transporte,,,,,,
,,,,,,
JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,
MAESTRO LUIS SANCHEZ: 3175022723,MAESTRO LUIS SANCHEZ: 3175022723,MAESTRO LUIS SANCHEZ: 3175022723,MAESTRO LUIS SANCHEZ: 3175022723,MAESTRO LUIS SANCHEZ: 3175022723,MAESTRO LUIS SANCHEZ: 3175022723,
LA INDEPENDENCIA,LA INDEPENDENCIA,LA INDEPENDENCIA,LA INDEPENDENCIA,LA INDEPENDENCIA,LA INDEPENDENCIA,2026-05-13
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,
"FORMALETA DE 30*1,20",5,16,320,5120,25600,
"FORMALETA DE 20*1,20",5,16,300,4800,24000,
PARALES 3 MTS,5,20,200,4000,20000,
"ANGULOS DE 1,20",5,16,150,2400,12000,
ANGULOS DE 60,5,32,90,2880,14400,
CHAPETAS,5,600,28,16800,84000,
MAYO 14 AL 18,MAYO 14 AL 18,VALOR DIARIO,VALOR DIARIO,36000,,
MAYO 14 AL 18,MAYO 14 AL 18,DIAS ,DIAS ,180000,,
MAYO 14 AL 18,MAYO 14 AL 18,LLEVADA Y RRECOGIDA,LLEVADA Y RRECOGIDA,120000,,
MAYO 14 AL 18,MAYO 14 AL 18,TOTAL DIAS,TOTAL DIAS,300000,,
DEPOSITO,EFECTIVO,2026-05-13,,500000,,
A DEVOLVER,,,,-200000,,
