CONKASA CONSTRUCTORES S.A,CONKASA CONSTRUCTORES S.A,CONKASA CONSTRUCTORES S.A,CONKASA CONSTRUCTORES S.A,CONKASA CONSTRUCTORES S.A,CONKASA CONSTRUCTORES S.A,CONKASA CONSTRUCTORES S.A,CONKASA CONSTRUCTORES S.A,CONKASA CONSTRUCTORES S.A,CONKASA CONSTRUCTORES S.A
CRA 23#7-15,CRA 23#7-15,CRA 23#7-15,CRA 23#7-15,CRA 23#7-15,CRA 23#7-15,CRA 23#7-15,CRA 23#7-15,CRA 23#7-15,CRA 23#7-15
MOVIMIENTO:ABRIL 3 AL 22/2025 ,MOVIMIENTO:ABRIL 3 AL 22/2025 ,MOVIMIENTO:ABRIL 3 AL 22/2025 ,MOVIMIENTO:ABRIL 3 AL 22/2025 ,MOVIMIENTO:ABRIL 3 AL 22/2025 ,MOVIMIENTO:ABRIL 3 AL 22/2025 ,MOVIMIENTO:ABRIL 3 AL 22/2025 ,MOVIMIENTO:ABRIL 3 AL 22/2025 ,MOVIMIENTO:ABRIL 3 AL 22/2025 ,MOVIMIENTO:ABRIL 3 AL 22/2025 
CONKASA CONSTRUCTORES S.A,12643,12654,11472,12659,11475,12663,11479,11481,SALDO
CONKASA CONSTRUCTORES S.A,2025-04-03,2025-04-10,2025-04-14,2025-04-14,2025-04-16,2025-04-16,2025-04-22,2025-04-22,2025-04-30
FORMALETAS 25 X 120,2,,,,,,-2,,
FORMALETA DE 40*1.20,8,,,12,-6,,-13,-1,
FORMALETA DE 60*1.20,60,,,,,,-60,,
FORMALETA DE 30*1.20,8,,,16,-18,,-6,,
FORMALETA DE 20*1.20,8,,,,,,-8,,
FORMALETA DE 50*1.20,,,,,,12,-12,,
RINCONERAS DE 10*10*1.20,6,,,,,,,-6,
ANGULOS DE 1.20,4,,,4,,,,-8,
ANGULOS DE 60,4,,,20,,,,-24,
PARALES DE 3 MTROS,20,60,-60,,,,,-20,
HORA,07:30,03:50,02:00,02:00,09:00,09:00,11:10,04:02,
TRANSPORTE ,15000,15000,15000,10000,TAW 052,TAW 052,15000,15000,85000
,,,,,,,,,
,,,,,,,,,
EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,,,
ANDREA CONKASA: 3165755563,ANDREA CONKASA: 3165755563,ANDREA CONKASA: 3165755563,ANDREA CONKASA: 3165755563,ANDREA CONKASA: 3165755563,ANDREA CONKASA: 3165755563,ANDREA CONKASA: 3165755563,,,
CRA 23 CALLE 7 ESQUINA,CRA 23 CALLE 7 ESQUINA,CRA 23 CALLE 7 ESQUINA,CRA 23 CALLE 7 ESQUINA,CRA 23 CALLE 7 ESQUINA,CRA 23 CALLE 7 ESQUINA,CRA 23 CALLE 7 ESQUINA,,,
PERIODO ABRIL 3 AL 22,PERIODO ABRIL 3 AL 22,PERIODO ABRIL 3 AL 22,PERIODO ABRIL 3 AL 22,PERIODO ABRIL 3 AL 22,PERIODO ABRIL 3 AL 22,PERIODO ABRIL 3 AL 22,,,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PERIODO,,,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,VALOR TOTAL,PERIODO,,,
FORMALETAS 25 X 120,19,2,270,540,10260,ABRIL 3 AL 21,,,
FORMALETAS 40 X 120,12,8,300,2400,28800,ABRIL 3 AL 14,,,
FORMALETA DE 40X1.20,1,20,300,6000,6000,2025-04-15,,,
FORMALETA DE 40X1.20,7,14,300,4200,29400,ABRIL 16 AL 22,,,
FORMALETAS 60 X 120,19,60,320,19200,364800,ABRIL 3 al 21,,,
FORMALETAS 30 X 120,12,8,280,2240,26880,ABRIL 3 al 14,,,
FORMALETAS 30 X 120,1,24,280,6720,6720,2025-04-15,,,
FORMALETAS 30 X 120,7,8,280,2240,15680,ABRIL 16 AL 22,,,
FORMALETAS 20 X 120,19,8,250,2000,38000,ABRIL 3 AL 21,,,
FORMALETA DE 50X1.20,7,12,320,3840,26880,ABRIL 16 AL 22,,,
RINCONERAS 10 X 10 X 120,19,6,280,1680,31920,ABRIL 3 AL 21,,,
ANGULOS120,12,4,90,360,4320,ABRIL 3 AL 14,,,
ANGULOS120,8,8,90,720,5760,ABRIL 15 AL 22,,,
ANGULOS 60,12,4,50,200,2400,ABRIL 3 AL 14,,,
ANGULOS 60,8,24,50,1200,9600,ABRIL 15 AL 22,,,
PARALES 3 MTS,8,20,130,2600,20800,ABRIL 3 AL 10,,,
PARALES 3 MTS,4,80,130,10400,41600,ABRIL 11 AL 14,,,
PARALES 3 MTS,8,20,130,2600,20800,ABRIL 15 AL 22,,,
ABRIL 3 AL 22 ABRIL 2025,ABRIL 3 AL 22 ABRIL 2025,TOTAL DIARIO IVA INCLUIDO,TOTAL DIARIO IVA INCLUIDO,82276.59999999999,,,,,
ABRIL 3 AL 22 ABRIL 2025,ABRIL 3 AL 22 ABRIL 2025,TOTAL IVA INCLUIDO,TOTAL IVA INCLUIDO,821837.7999999999,,,,,
ABRIL 3 AL 22 ABRIL 2025,ABRIL 3 AL 22 ABRIL 2025,ACARREOS,ACARREOS,85000,,,,,
ABRIL 3 AL 22 ABRIL 2025,ABRIL 3 AL 22 ABRIL 2025,TOTAL DIAS ,TOTAL DIAS ,906837.7999999999,,,,,
