EUDYSISTEMAS/MARICELL,EUDYSISTEMAS/MARICELL,EUDYSISTEMAS/MARICELL,EUDYSISTEMAS/MARICELL,EUDYSISTEMAS/MARICELL,EUDYSISTEMAS/MARICELL,
CRA 37#42-83TEL:3012077293,CRA 37#42-83TEL:3012077293,CRA 37#42-83TEL:3012077293,CRA 37#42-83TEL:3012077293,CRA 37#42-83TEL:3012077293,CRA 37#42-83TEL:3012077293,
MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,
MATERIAL,SALDO,12649,12650,12667,SALDO ,
MATERIAL,2025-03-27,2025-04-09,2025-04-10,2025-04-21,2025-04-30,
MARCOS DE ANDAMIOS 1.50 VERDES,4,,,,4,
CRUCETAS 2.40,4,,,,4,
TABLONES  DE 3 MTROS,2,,,,2,
FORMALETA DE 15*1.20,,12,,,12,
FORMALETA DE 40*1.20,,6,6,4,16,
FORMALETA DE 30*1.20,,6,6,,12,
ANGULOS DE 60,,24,,,24,
ANGULOS DE 1.20,,12,,,12,
PARALES DE 3 MTROS,,18,,,18,
CHAPETAS,,300,,,300,
CAJA METALICA,,1,,,1,
Hora,08:00,08:00,07:30,10:00,1.3958333333333333,
TRANSPORTE,30000,35000,30000,25000,120000,
,,,,,,
,,,,,,
EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS
CARRERA 37 # 42-83,CARRERA 37 # 42-83,CARRERA 37 # 42-83,CARRERA 37 # 42-83,CARRERA 37 # 42-83,CARRERA 37 # 42-83,CARRERA 37 # 42-83
EDUSYSTEMAS LTDA,EDUSYSTEMAS LTDA,EDUSYSTEMAS LTDA,EDUSYSTEMAS LTDA,EDUSYSTEMAS LTDA,EDUSYSTEMAS LTDA,EDUSYSTEMAS LTDA
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,PERIODO
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO UTILIZADO,PERIODO
SECCIONES DE AMDAMIO,35,2,1500,3000,105000,MARZO 27 A ABRIL 30
TABLONES 3 MTS,35,2,700,1400,49000,MARZO 27 A ABRIL 30
FORMALETA 15 X 120,20,12,240,2880,57600,ABRIL 9 AL 30
FORMALETA 40 X 120,1,6,300,1800,1800,ABRIL 9 AL 9
FORMALETA 40 X 120,21,12,300,3600,75600,ABRIL 10 AL30
FORMALETA 30 X 120,1,6,280,1680,1680,ABRIL 9 AL 9
FORMALETA 30 X 120,21,12,280,3360,70560,ABRIL 10 AL 30
ANGULOS DE 60 CM,22,24,50,1200,26400,ABRIL 9 AL 30
ANGULOS DE 120 CM,22,12,90,1080,23760,ABRIL 9 AL 30
PARALES 3 MTS,22,18,150,2700,59400,ABRIL 9 AL 30
CHAPETAS,22,300,25,7500,165000,ABRIL 9 AL 30
MARZO 27 A ABRIL30,MARZO 27 A ABRIL30,SUB-TOTAL DIARIOCON IVA,SUB-TOTAL DIARIOCON IVA,35938,,
MARZO 27 A ABRIL30,MARZO 27 A ABRIL30,SUBTOTAL,SUBTOTAL,635800,,
MARZO 27 A ABRIL30,MARZO 27 A ABRIL30,IVA 19 %,IVA 19 %,120802,,
MARZO 27 A ABRIL30,MARZO 27 A ABRIL30,TRANSPORTE,TRANSPORTE,120000,,
MARZO 27 A ABRIL30,MARZO 27 A ABRIL30, GRANTOTAL, GRANTOTAL,876602,,
