PROCAR INVERSIONES,PROCAR INVERSIONES,PROCAR INVERSIONES,PROCAR INVERSIONES,PROCAR INVERSIONES,PROCAR INVERSIONES
PARQUE INDUSTRIAL,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL
MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025
MATERIAL,12673,11484,,,SALDO 
MATERIAL,2025-04-22,2025-04-23,,,2025-04-30
MARCOS DE ANDAMIOS 1.50 VERDES,10,-10,,,
MARCOS DE ANDAMIOS 1.50 AMARILLOS ,2,-2,,,
CRUCETAS 2.40,12,-12,,,
TABLONES  DE 3 MTROS,2,-2,,,
RUEDAS DE ANDAMIOS,4,-4,,,
Hora,10:20,03:00,,,0.5555555555555556
TRANSPORTE,XVY-256,QGZ-294,,,
,,,,,
,,,,,
EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS
PARQUE IND. 1 BODEGA 13 MANZANA C,PARQUE IND. 1 BODEGA 13 MANZANA C,PARQUE IND. 1 BODEGA 13 MANZANA C,PARQUE IND. 1 BODEGA 13 MANZANA C,PARQUE IND. 1 BODEGA 13 MANZANA C,PARQUE IND. 1 BODEGA 13 MANZANA C
PROCAR INVERSIONES,PROCAR INVERSIONES,PROCAR INVERSIONES,PROCAR INVERSIONES,PROCAR INVERSIONES,PROCAR INVERSIONES
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO
"SECCIONES DE ANDAMIO 1,5",5,6,1200,7200,36000
TABLONES 3 MTS,5,2,600,1200,6000
RUEDAS DE ANDMIO,5,4,650,2600,13000
5 DIAS,5 DIAS,DIAS,DIAS,55000,
5 DIAS,5 DIAS,IVA 19 %,IVA 19 %,10450,
5 DIAS,5 DIAS,RETENCION 4 %,RETENCION 4 %,2200,
5 DIAS,5 DIAS, GRANTOTAL, GRANTOTAL,63250,
