ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER
CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059
MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025
MATERIAL,SALDO,11450,11451,11467,11492,SALDO 
MATERIAL,2025-03-20,2025-04-02,2025-04-02,2025-04-09,2025-04-30,2025-04-30
PARAL DE 6 MROS,14,-5,,-7,,2
"TABLEROS DE MADERA 70X1,140",7,,-7,,,
FORMALETA METALICA DE 30*1.20,48,,,,-48,
Hora,,08:00,01:50,11:20,02:10,
TRANSPORTE,,,TTU-924,TTU-924,TTU-924,
,,,HACER CORTE 29/03/2025,,,
,,,,,,
JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,
ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,
PERIODO: MARZO 21 A ABRIL 30,PERIODO: MARZO 21 A ABRIL 30,PERIODO: MARZO 21 A ABRIL 30,PERIODO: MARZO 21 A ABRIL 30,PERIODO: MARZO 21 A ABRIL 30,PERIODO: MARZO 21 A ABRIL 30,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,
PARALES DE 6 MTROS,12,14,300,4200,50400,MARZO 21 A ABRIL 1
PARALES DE 6 MTROS,9,9,300,2700,24300,ABRIL 2 AL 8
TABLEROS DE MADERA  70*1.40,12,7,200,1400,16800,MARZO 21 A ABRIL 1
FORMALETA METALICA DE 30*1.20,40,48,235,11280,451200,MARZO 21 A ABRIL 30
MARZO 21 A ABRIL 30,MARZO 21 A ABRIL 30,VALOR DIARIO ,VALOR DIARIO ,19580,,
MARZO 21 A ABRIL 30,MARZO 21 A ABRIL 30,,,542700,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER
CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059
MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025
MATERIAL,SALDO,11450,11451,11467,11492,SALDO 
MATERIAL,2025-03-20,2025-04-02,2025-04-02,2025-04-09,2025-04-30,2025-04-30
PARAL DE 6 MROS,14,-5,,-7,,2
"TABLEROS DE MADERA 70X1,140",7,,-7,,,
FORMALETA METALICA DE 30*1.20,48,,,,-48,
Hora,,08:00,01:50,11:20,02:10,
TRANSPORTE,,,TTU-924,TTU-924,TTU-924,
,,,HACER CORTE 29/03/2025,,,
,,,,,,
JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,JIMMY JAIMES,
ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,ALQUIOBRAS -SANTANDER,
PERIODO: MARZO 21 A ABRIL 30,PERIODO: MARZO 21 A ABRIL 30,PERIODO: MARZO 21 A ABRIL 30,PERIODO: MARZO 21 A ABRIL 30,PERIODO: MARZO 21 A ABRIL 30,PERIODO: MARZO 21 A ABRIL 30,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,
PARALES DE 6 MTROS,12,14,300,4200,50400,MARZO 21 A ABRIL 1
PARALES DE 6 MTROS,9,9,300,2700,24300,ABRIL 2 AL 8
TABLEROS DE MADERA  70*1.40,12,7,200,1400,16800,MARZO 21 A ABRIL 1
FORMALETA METALICA DE 30*1.20,40,48,235,11280,451200,MARZO 21 A ABRIL 30
MARZO 21 A ABRIL 30,MARZO 21 A ABRIL 30,VALOR DIARIO ,VALOR DIARIO ,19580,,
MARZO 21 A ABRIL 30,MARZO 21 A ABRIL 30,,,542700,,
