ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER
CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059
MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025
MATERIAL,SALDO,11450,11451,11467,,SALDO 
MATERIAL,2025-03-31,2025-04-02,2025-04-02,2025-04-09,,2025-04-30
PARAL DE 6 MROS,14,-5,,-7,,2
"TABLEROS DE MADERA 70X1,140",7,,-7,,,
FORMALETA METALICA DE 30*1.20,48,,,,,48
Hora,,08:00,01:50,11:20,,
TRANSPORTE,,,TTU-924,TTU-924,,
,,,HACER CORTE 29/03/2025,,,
