EUDYSISTEMAS/MARICELL,EUDYSISTEMAS/MARICELL,EUDYSISTEMAS/MARICELL,EUDYSISTEMAS/MARICELL,EUDYSISTEMAS/MARICELL,EUDYSISTEMAS/MARICELL
CRA 37#42-83TEL:3012077293,CRA 37#42-83TEL:3012077293,CRA 37#42-83TEL:3012077293,CRA 37#42-83TEL:3012077293,CRA 37#42-83TEL:3012077293,CRA 37#42-83TEL:3012077293
MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025
MATERIAL,SALDO,12649,12650,12667,SALDO 
MATERIAL,2025-03-31,2025-04-09,2025-04-10,2025-04-21,2025-04-30
MARCOS DE ANDAMIOS 1.50 VERDES,4,,,,4
CRUCETAS 2.40,4,,,,4
TABLONES  DE 3 MTROS,2,,,,2
FORMALETA DE 15*1.20,,12,,,12
FORMALETA DE 40*1.20,,6,6,4,16
FORMALETA DE 30*1.20,,6,6,,12
ANGULOS DE 60,,24,,,24
ANGULOS DE 1.20,,12,,,12
PARALES DE 3 MTROS,,18,,,18
CHAPETAS,,300,,,300
CAJA METALICA,,1,,,1
Hora,,08:00,07:30,10:00,1.0625
TRANSPORTE,,35000,30000,25000,90000
