POSADA HIPANEMA,POSADA HIPANEMA,POSADA HIPANEMA,POSADA HIPANEMA,POSADA HIPANEMA,POSADA HIPANEMA
CALLE 49-CON CRA 36 TE: 3012077293,CALLE 49-CON CRA 36 TE: 3012077293,CALLE 49-CON CRA 36 TE: 3012077293,CALLE 49-CON CRA 36 TE: 3012077293,CALLE 49-CON CRA 36 TE: 3012077293,CALLE 49-CON CRA 36 TE: 3012077293
MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025
MATERIAL,12655,,,,SALDO 
MATERIAL,2025-04-11,,,,2025-04-30
MARCOS DE ANDAMIOS 1.50ROJOS,20,,,,20
CRUCETAS 2.40,20,,,,20
TABLONES  DE 3 MTROS,20,,,,20
RUEDAS DE ANDAMIOS ,8,,,,8
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Hora,09:00,,,,0.375
TRANSPORTE,40000,,,,40000
