PRODUCTOS MY M,PRODUCTOS MY M,PRODUCTOS MY M,PRODUCTOS MY M,PRODUCTOS MY M,PRODUCTOS MY M,PRODUCTOS MY M
CRA 19#5-50 COMUNEROS TEL: 3164978190,CRA 19#5-50 COMUNEROS TEL: 3164978190,CRA 19#5-50 COMUNEROS TEL: 3164978190,CRA 19#5-50 COMUNEROS TEL: 3164978190,CRA 19#5-50 COMUNEROS TEL: 3164978190,CRA 19#5-50 COMUNEROS TEL: 3164978190,CRA 19#5-50 COMUNEROS TEL: 3164978190
MOVIMIENTO:ABRIL/2025,MOVIMIENTO:ABRIL/2025,MOVIMIENTO:ABRIL/2025,MOVIMIENTO:ABRIL/2025,MOVIMIENTO:ABRIL/2025,MOVIMIENTO:ABRIL/2025,MOVIMIENTO:ABRIL/2025
MATERIAL,12658,,,,,SALDO
,2025-04-14,,,,,2025-04-30
MARCOS DE ANDAMIOS ROJOS,8,,,,,8
CRUCETAS 2. MTRS ,8,,,,,8
TABLONES DE 3 MTROS  ,2,,,,,2
RUEDAS DE ANDAMIOS,4,,,,,4
ARNES DE SEGURIDAD,2,,,,,2
Lazo,1,,,,,1
HORA,09:50,,,,,0.4097222222222222
Transporte,A PIE,,,,,
