PROCAR INVERSIONES,PROCAR INVERSIONES,PROCAR INVERSIONES,PROCAR INVERSIONES,PROCAR INVERSIONES,PROCAR INVERSIONES
PARQUE INDUSTRIAL,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL
MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025,MOVIMIENTO: ABRIL/ 2025
MATERIAL,12673,11484,,,SALDO 
MATERIAL,2025-04-22,2025-04-23,,,2025-04-30
MARCOS DE ANDAMIOS 1.50 VERDES,10,-10,,,
MARCOS DE ANDAMIOS 1.50 AMARILLOS ,2,-2,,,
CRUCETAS 2.40,12,-12,,,
TABLONES  DE 3 MTROS,2,-2,,,
RUEDAS DE ANDAMIOS,4,-4,,,
Hora,10:20,03:00,,,
TRANSPORTE,XVY-256,QGZ-294,,,
