STERICARE PLUS /ANDRES MORENO,STERICARE PLUS /ANDRES MORENO,STERICARE PLUS /ANDRES MORENO,STERICARE PLUS /ANDRES MORENO,STERICARE PLUS /ANDRES MORENO,STERICARE PLUS /ANDRES MORENO,STERICARE PLUS /ANDRES MORENO
CRA 38#41-108 TEL:3026565476,CRA 38#41-108 TEL:3026565476,CRA 38#41-108 TEL:3026565476,CRA 38#41-108 TEL:3026565476,CRA 38#41-108 TEL:3026565476,CRA 38#41-108 TEL:3026565476,CRA 38#41-108 TEL:3026565476
MOVIMIENTO: MARZO/ 2025,MOVIMIENTO: MARZO/ 2025,MOVIMIENTO: MARZO/ 2025,MOVIMIENTO: MARZO/ 2025,MOVIMIENTO: MARZO/ 2025,MOVIMIENTO: MARZO/ 2025,MOVIMIENTO: MARZO/ 2025
MATERIAL,SALDO,11455,12646,12686,11488,SALDO 
MATERIAL,2025-03-31,2025-04-03,2025-04-03,2025-04-26,2025-04-26,2025-04-30
MARCOS DE ANDAMIOS 1.50 VERDES,48,-48,8,4,-6,6
CRUCETAS 2.40,48,-48,8,3,-7,4
TABLONES  DE 3 MTROS,28,-16,,3,-3,12
PLATAFORMAS,2,,,,,2
MEZCLADORA DE CONCRETO,1,-1,,,,
"PARALES DE 3,5 MTROS",,,,15,,15
FORMALETAS DE 40* 1.20,,,,24,,24
FORMALETA DE 60*1.20,,,,2,,2
ANGULOS DE 1.20,,,,16,,16
ANGULOS DE 60,,,,16,,16
CHAPETAS,,,,250,,250
CAJA METALICA,,,,1,,1
Hora,,03:30,03:30,08:00,08:00,0.625
TRANSPORTE,,50000,,80000,SALIDA,130000
"DEPOSITO $100,000",,,,,,
