CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA,CONSORCIO LA VICTORIA
CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA,CRA 13 CON CALLE 69 VICTORIA
MOVIMIENTO:FEBRERO 5 AL 28/ 2025,MOVIMIENTO:FEBRERO 5 AL 28/ 2025,MOVIMIENTO:FEBRERO 5 AL 28/ 2025,MOVIMIENTO:FEBRERO 5 AL 28/ 2025,MOVIMIENTO:FEBRERO 5 AL 28/ 2025,MOVIMIENTO:FEBRERO 5 AL 28/ 2025,MOVIMIENTO:FEBRERO 5 AL 28/ 2025
MATERIAL,13342,13351,13365,13374,13384,EN OBRA
MATERIAL,2026-02-03,2026-02-04,2026-02-07,2026-02-10,2026-02-12,2026-02-28
ALINEADORES DE 6 MTROS,12,20,8,,,40
"FORMALETA DE 60*1,20",62,38,,10,,110
ALINEADORES DE 3 MTROS,8,,,,,8
"FORAMLETA DE 50*1,20",,21,29,,,50
"FORMALETA DE 20*1,20",,5,10,45,,60
"FORMALETA DE 30 1,20",,,6,2,38,46
"FORMALETA DE 25*1,20",,,,2,,2
TENSORES ,,120,,,,120
CHAPETAS,,150,352,768,230,1500
CAJA METALICA,,1,2,2,,5
"RINCONERAS 10*10*1,20",,2,,,,2
"ANGULOS DE 1,20",,8,,,,8
PARALES DE 4 MTROS,,,40,40,,80
PARALES DE 1 MTRO,,,,40,,40
PINES,,,130,270,300,700
Hora,AM,04:00,8.30,02:30,14:30,
TRANSPORTE,80000,80000,40000,80000,40000,320000
EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,
CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,
RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO,
"FORMALETA DE 60*1,20",24,110,450,49500,1188000,
"FORMALETA DE 20*1,20",24,60,280,16800,403200,
"FORMALETA DE 50*1,20",24,50,360,18000,432000,
FORMALETA DE 25*120,24,2,340,680,16320,
"FORMALETA DE 30*1,20",24,46,350,16100,386400,
ALINEADOR DE 6 MTRS,24,40,600,24000,576000,
ALINEADOR DE 3 MTROS,24,8,400,3200,76800,
TENSORES ,24,120,120,14400,345600,
CHAPETAS ,24,1500,28,42000,1008000,
ANGULOS DE 1.20,24,8,120,960,23040,
"RINCONERAS DE 10*10*1,20",24,2,320,640,15360,
PARALES DE 4 MTROS ,24,80,250,20000,480000,
PARALES DE 1 MTRO,24,40,200,8000,192000,
PINES ,24,700,25,17500,420000,
FEBRERO 5 AL 28,FEBRERO 5 AL 28,TOTAL DIARIO IVA INCLUIDO,TOTAL DIARIO IVA INCLUIDO,275818.2,,
FEBRERO 5 AL 28,FEBRERO 5 AL 28,VALOR 24 DIAS SIN IVA,VALOR 24 DIAS SIN IVA,5562720,,
FEBRERO 5 AL 28,FEBRERO 5 AL 28,IVA ,IVA ,1056916.8,,
FEBRERO 5 AL 28,FEBRERO 5 AL 28,LLEVADA,LLEVADA,320000,,
FEBRERO 5 AL 28,FEBRERO 5 AL 28,TOTAL DIAS ,TOTAL DIAS ,6939636.8,,
TOTAL VALOR DIARIO INCLUIDO IVA,,,,,,
VALOR 90 ,,,,,,
REQUISITOS ,,,,,,
ACTA CONSORCIAL,,,,,,
CAMARA COMERCIO INTEGRANTES DEL CONSORCIO,,,,,,
DEPOSITO,,,,4000000,,
COPIA DEL CONTRATO DE LA OBRA A EJECUTAR,,,,,,
NOTA:  Las corbatas son en venta porque son una medida no comercial.,,,,,,
,,,,,,
IVA DE 90 DIAS DE ALQUILER,,,,,,
LLEVADA MATERIAL,,,,,,
TOTAL ALQUILER CON IVA Y TRANSPORTE,,,,,,
,,,,,,
EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,EQUIORIENTE S.A.S,,
CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,CONSORCIO LA VICTORIA 2,,
RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,RUBEN FORERO : 3223053468,,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,,
corbata para muro de 30cm,,200,3000,600000,,
corbata para muro de 25cm,,150,3000,450000,,
CORBATAS EN VENTA,CORBATAS EN VENTA,TOTAL CORBATAS ,TOTAL CORBATAS ,1050000,,
CORBATAS EN VENTA,CORBATAS EN VENTA,IVA ,IVA ,199500,,
CORBATAS EN VENTA,CORBATAS EN VENTA,TOTAL DIAS ,TOTAL DIAS ,1249500,,
ABONO,,,,699000,,
SALDO ADEUDADO,,,,550500,,
