,,,,,,,,,,,,,
CARTERA,CARTERA,CARTERA,,,,,,,,,,,
,,,,,,,,,,,,,
FACTURA,CLIENTE,VALOR,,,,,,,,,AUTOR ,,
,,,,,,,,,,,,,
,,,3442075,,,PUERTA DEL ORO ,PUERTA DEL ORO ,,,,,,
492,cubyco,47219,,,,,,,,,ENER,26000,2319000
494,grubinm,200000,,,,JUNIO ,5087939,,,,FEB,24000,2199000
495,grubinm,428400,,,,JULIO ,1526381,,,,MARZ,59000,5346000
499,cubyco,1383422,canc 9 sept,,,AGOSTO ,1526381,,,,ABRIL,63000,5726000
500,cubyco,48742,,,,SEPT,1526381,,,,MAY,69000,6312000
505,cubyco,758910,,,,OCTUBRE,1526381,,,,JUN,58000,5309000
496,Roberto sanchez,2434735,,,,NOVIEMBRE,1526381,,,,JUL,16000,1473000
497,Roberto sanchez,112658,,,,DIC,1526381,,,,AGTO,20000,
,,,,,,ENERO,1526381,,,,,,
,,,,,,FEBRERO,1526381,,,,,,
,,,,,,MARZO,1526381,,,,,,
,,,,,,ABRIL ,1526381,,,,,335000,
TOTAL ,TOTAL ,5414086,,,,MAYO ,1526381,,,,,,
,,,,,,JUNIO ,1526381,,,,,,
,,,,,,JULIO ,1526381,,,,,,
,,,,,,AGOSTO ,1526381,,,,,,
,,,,,,SEPT,1526381,,,,32840631,,
,,,,,,OCTUBRE,1526381,,,,12500000,CDT,
,,,,,,NOVIEMBRE,1526381,,,,20340631,ut pend,
,,,,,,DIC,1526381,,,,11000000,,
,,,,,,2024-01-01,1526381,,,,9340631,,
,,,,,,2024-02-01,1526381,,,,,,
,,,,,,2024-03-01,1526381,,,,,,
,,,,,,2024-04-01,1526381,,,,,,
,,,,,,2024-05-01,1526381,,,,,,
,,,,,,2024-06-01,1526381,,,,,,
,,,,,,2024-07-01,1526381,,,,,,
,,,,,,2024-08-01,1526381,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,TOTAL ,44773845,,,,,,
