EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,EQUIORIENTE SAS,,,
SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA ,,,
FECHA: 31 de DICIEMBRE  DE 2024,FECHA: 31 de DICIEMBRE  DE 2024,FECHA: 31 de DICIEMBRE  DE 2024,FECHA: 31 de DICIEMBRE  DE 2024,FECHA: 31 de DICIEMBRE  DE 2024,,,
,,,,,,,
,,,,,,,
1,1,ACTIVO,,,,,
,,,,,,,
11,11,Efectivo y equivalentes al efectivo,,,,,
1105,1105,Caja,,24386159,,,
110505,110505,Caja general,24386159,,,,
,,,,,,,
1120,1120,Cuentas de ahorro,,,,,
112005,112005,Bancos,,10438236,,,
11200501,11200501,BBVA,10438236,,,,
,,,,,,,
,,,,,,,
,,,,,,,
13,13,Cuentas por cobrar (instrumentos financieros),,,,,
1305,1305,Clientes,,10456154,,,
130505,130505,Nacionales,3733796,,,,
130505,,Cuentas por debajo ,4343749,,,,
130505,,Otras cuentas por cobrar ,2378609,,,,
,,,,,,,
1330,,ANTICIPO PROVEEDORES ,,49352988,,,
,,Puerta de Oro etapa 3,49352988,,,,
,,,,,,,
1355,1355,Anticipo de impuestos y contribuciones o saldos a favor,,4136993,,,
135505,135505,Anticipo de impuestos de renta y complementarios,2468000,,,,
135518,,Reteica ,178542,,,,
135515,135515,Retención en la fuente ,1022451,,,,
13559006,13559006,Autorretencion de renta,468000,,,,
,,,,,,,
15,15,Propiedades planta y equipo,,312866893,,,
1516,1516,Construcciones y edificaciones,,,,,
151605,151605,Apto sion ,91000000,,,,
1520,,MAQUINARIA Y EQUIPO ,196269921,,,,187962965
152005,152005,Formaleta,,GONZALEZ BOHORQUEZ,GONZALEZ BOHORQUEZ,GONZALEZ BOHORQUEZ,8306956
1528,1528,Equipo de computación y comunicación,,,,,196269921
152805,152805,Equipo de procesamiento de datos,2109000,,,,
1540,1540,Flota y equipo de transporte,0,,,,
154008,154008,"Camiones, volquetas y furgones",34596000,,,,
1592,1592,Depreciación acumulada,-11108028,,,,
,,,,,,,
16,16,Intangibles,,2548980,,,
1635,1635,Licencias,2548980,,,,
,,,,,,,
TOTAL ACTIVO ,TOTAL ACTIVO ,TOTAL ACTIVO ,,414186403,,,
,,,,,,,
,,,,,,,
2365,2365,Retención en la fuente,,186000,,,
236525,236525,Retención en la fuente,148000,,,,
236706,,Autorretencion,38000,,,,
,,,,,,,
2370,2370,Retenciones y aportes de nómina,,347900,,,
237005,237005,Aportes a entidades promotoras de salud EPS,162600,,,,
237006,237006,Aportes a administradoras de riesgos profesionales arp,38400,,,,
237010,237010,"Aportes al i.c.b.f, sena y cajas compensación",146900,,,,
,,,,,,,
2380,2380,Acreedores varios,,650000,,,
238030,238030,Fondos de cesantías y/o pensiones,650000,,,,
,,,,,,,
,,,,,,,
24,24,"Impuestos, gravámenes y tasas",,194000,,,
2408,2408,Impuesto sobre las ventas por pagar,194000,,,,
2412,,industria y comercio ,0,,,,
,,,,,,,
,,,,,,,
26,26,Provisión de pasivos,,,,,
2610,2610,Para obligaciones laborales,,2935000,,,
261005,261005,Cesantías,2935000,,,,
261010,261010,Intereses sobre cesantías,0,,,,
261015,,Vacaciones,0,,,,
261020,,Prima ,0,,,,
,,,,,,,
2895,,OTRAS CUENTAS POR PAGAR,,,,,
,,Prestamos socios,,,,,
,,,,,,,
TOTAL PASIVO ,TOTAL PASIVO ,TOTAL PASIVO ,,4312900,,,
,,,,,,,
,,,,,,,
3,3,PATRIMONIO,,,,,
,,,,,,,
31,31,Capital social,,405112927,,,
3105,3105,Capital suscrito y pagado,405112927,,,,
310505,310505,Capital autorizado suscrito y pagado ,,,,,
,,,,,,,
,,,,,,,
36,36,Resultados del ejercicio,,-3080054.92,,,
361010,361010,Perdida de ejercicio,-3080054.92,,,,
,,,,,,,
,,,,,,,
37,,UTILIDAD DEL EJERCICIO ANTERIORES ,,7840631,,,
370501,,Utilidad de ejercicios anteriores,7840631,,,,
,,,,,,,
,,,,,,,
TOTAL PATRIMONIO ,TOTAL PATRIMONIO ,TOTAL PATRIMONIO ,,409873503.08,,,
,,,,,,,
TOTAL PATRIMONIO  Y PASIVO,TOTAL PATRIMONIO  Y PASIVO,TOTAL PATRIMONIO  Y PASIVO,,414186403.08,,,
,,,,-0.07999998331069946,,,
,,,,0,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
NOTA: UTILIDADES SRA FLOR ALBA  SE ENCUENTRA EN CDT ,,,,,,,
"1 CDT COOMULTRASAN $12,500,000",,,,,,,
"1 CDT BBVA $11,000,000",,,,,,,
