,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MES,VENTAS FISCALES 2024,VENTAS FISCALES 2023,VENTAS FISCALES 2022,VENTAS FISCALES 2021,VENTAS FISCALES 2020,VENTAS FISCALES 2019,VENTAS FISCALES 2018,VENTAS FISCALES 2017,VENTAS SIN IVA 2024,VENTAS SIN IVA 2023,VENTAS SIN IVA 2022,VENTAS SIN IVA 2021,VENTAS SIN IVA 2020,VENTAS SIN IVA 2019,VENTAS SIN IVA 2018,VENTAS SIN IVA 2017,GASTOS 2024,GASTOS 2023,GASTOS 2022,GASTOS 2021,GASTOS 2020,GASTOS  2019,GASTOS  2018,GASTOS 2017,UTILIDAD 2024,UTILIDAD 2023,UTILIDAD 2022,UTILIDAD 2021,UTILIDAD 2020,UTILIDAD 2019 ,UTILIDAD 2018 ,UTILIDAD  2017
,ENERO ,2319055,0,6308768,4088450,9772741,5232922,20519674,4068398,5070435,4878660,3100823,5295548,4656136,7998115,5489862,3111549,9947041,10152266,8340075.44,9031235,11183760,8192569,7055307,10452832,,,,,,,,
,FEBRERO ,2198885,4332104,3904163,3444630,8662267,6735984,347610,3781685,6521782,4693673,7094524,6881543,7804429,4974355,7374328,8157506,13136716,13410419,9969598,12420337,13337610,8084721,8975623,8843670,,,,,,,,
,MARZO,5345924,11179580,6104727,4294490,11213082,4072345,245528,3264345,6934538,12062967,11156171,7901560,5900305,7130437,5439456,5780617,11222287.82,16907266,11403558,13591375,10865138,8025783,9788704,8621927,,,,,,,,
,ABRIL ,5705085,6476561,4771392,3094715,109000,8902568,311788,5714524,11902051,13101458,11179990,10475785,121014,6001004,7142915,5636163,13880419,12557124,11689725,17060981,8424882,11161681,9211395,6162384,,,,,,,,
,MAYO ,6312190,2948466,3195437,3036250,,4831245,2070588,1563099,5781805,11011958,9141636,9475619,1804105,7419178,5721041,13796936,12971414,15171959,11286631,11744516.633333333,10909925,10164486,8014528,10155182,,,,,,,,
,JUNIO ,5308821,5460313,3587643,3220640,15088775,2541098,4186225,2504537,3102603,9771991,6890613,14072478,5883300,6384585,4021740,6565667,10918657,10729339,12304971,12797380,12990071,8433671,7385244,14240736,,,,,,,,
,JULIO ,1368000,5032261,5002298,2982171,5107405,2060928,3502320,14376812,4934884,5870486,8564817,7847354,9069381,4374077,1959742,6138041,11152404,10792468,12624706,13357892,11530572,8752682,7676064,10531315,,,,,,,,
,AGOSTO ,1818800,7904377,6292782,2259634,4348355,722060,13456626,9843168,13355048,7730780,12002561,10482068,6862717,8088583,4820282,5449400,11530628,10381456,0,12441445,11013798,10250005,9472439,10083753,,,,,,,,
,SEPTIEMBRE,2263580,60811795,9534674,4199993,5343486,1921510,0,6807513,12223256,12500720,8694467,12769758,9114471,5761435,6035931,6941815,14014468,14685440,10423141,14262071,11098718,12341540.75,16476675,13656658,,,,,,,,
,OCTUBRE,3401625,70303543,8627180,5953903,5206920,1940050,11000000,3921439,12732697,7560400,6596990,11490263,11912109.83,5903667,10697305,5541550,14110605,22974686,10630364,11384483,14559398,13788360.75,10699836,12463405,,,,,,,,
,NOVIEMBRE,2974890,76691258,9834611,3450527,4539945,6096979,12000000,2545390,10221753,7355430,10351450,13482352,9403633,6953987,7259988,6901480,12084858.1,13205069,13793441,9460840,15548745,12146150.75,12696365,13179987,,,,,,,,
,DICIEMBRE,3456110,85652181,6687564,3437926,5671900,10802895,13000000,68513641,10979454,8377765,10009636,8072834,11129725,3580427,8230584,7106144,14343828,19716602,14685347,10271878,12796951,9554095.75,8852048,27294325,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ,42472965,336792439,73851239,43463329,75063876,55860584,80640359,126904551,103760306,104916288,104783678,118247162,83661325.83,74569850,74193174,81126868,149313325.92,170684094,127151557.44,147824433.63333333,144259568,120895746,116304228,145686174,-3080054.92,13769097,21095449.56,13887078.366666667,14465633.829999998,9534688,18188372,62345245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MES,VENTAS FISCALES 2024,VENTAS FISCALES 2023,VENTAS FISCALES 2022,VENTAS FISCALES 2021,VENTAS FISCALES 2020,VENTAS FISCALES 2019,VENTAS FISCALES 2018,VENTAS FISCALES 2017,,,,,,,,,,,,,,,,,,,,,,,,
,ENERO ,2319055,0,6308768,4088450,9772741,5232922,20519674,4068398,,,,,,,,,,,,,,,,,,,,,,,,
,FEBRERO ,2198885,4332104,3904163,3444630,8662267,6735984,347610,3781685,,,,,,,,,,,,,,,,,,,,,,,,
,MARZO,5345924,11179580,6104727,4294490,11213082,4072345,245528,3264345,,,,,,,,,,,,,,,,,,,,,,,,
,ABRIL ,5705085,6476561,4771392,3094715,109000,8902568,311788,5714524,,,,,,,,,,,,,,,,,,,,,,,,
,MAYO ,6312190,2948466,3195437,3036250,0,4831245,2070588,1563099,,,,,,,,,,,,,,,,,,,,,,,,
,JUNIO ,5308821,5460313,3587643,3220640,15088775,2541098,4186225,2504537,,,,,,,,,,,,,,,,,,,,,,,,
,JULIO ,1368000,5032261,5002298,2982171,5107405,2060928,3502320,14376812,,,,,,,,,,,,,,,,,,,,,,,,
,AGOSTO ,1818800,7904377,6292782,2259634,4348355,722060,13456626,9843168,,,,,,,,,,,,,,,,,,,,,,,,
,SEPTIEMBRE,2263580,60811795,9534674,4199993,5343486,1921510,0,6807513,,,,,,,,,,,,,,,,,,,,,,,,
,OCTUBRE,3401625,70303543,8627180,5953903,5206920,1940050,11000000,3921439,,,,,,,,,,,,,,,,,,,,,,,,
,NOVIEMBRE,2974890,76691258,9834611,3450527,4539945,6096979,12000000,2545390,,,,,,,,,,,,,,,,,,,,,,,,
,DICIEMBRE,3456110,85652181,6687564,3437926,5671900,10802895,13000000,68513641,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ,42472965,336792439,73851239,43463329,75063876,55860584,80640359,126904551,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MES,VENTAS SIN IVA 2024,VENTAS SIN IVA 2023,VENTAS SIN IVA 2022,VENTAS SIN IVA 2021,VENTAS SIN IVA 2020,VENTAS SIN IVA 2019,VENTAS SIN IVA 2018,VENTAS SIN IVA 2017,,,,,,,,,,,,,,,,,,,,,,,,
,ENERO ,5070435,4878660,3100823,5295548,4656136,7998115,5489862,3111549,,,,,,,,,,,,,,,,,,,,,,,,
,FEBRERO ,6521782,4693673,7094524,6881543,7804429,4974355,7374328,8157506,,,,,,,,,,,,,,,,,,,,,,,,
,MARZO,6934538,12062967,11156171,7901560,5900305,7130437,5439456,5780617,,,,,,,,,,,,,,,,,,,,,,,,
,ABRIL ,11902051,13101458,11179990,10475785,121014,6001004,7142915,5636163,,,,,,,,,,,,,,,,,,,,,,,,
,MAYO ,5781805,11011958,9141636,9475619,1804105,7419178,5721041,13796936,,,,,,,,,,,,,,,,,,,,,,,,
,JUNIO ,3102603,9771991,6890613,14072478,5883300,6384585,4021740,6565667,,,,,,,,,,,,,,,,,,,,,,,,
,JULIO ,4934884,5870486,8564817,7847354,9069381,4374077,1959742,6138041,,,,,,,,,,,,,,,,,,,,,,,,
,AGOSTO ,13355048,7730780,12002561,10482068,6862717,8088583,4820282,5449400,,,,,,,,,,,,,,,,,,,,,,,,
,SEPTIEMBRE,12223256,12500720,8694467,12769758,9114471,5761435,6035931,6941815,,,,,,,,,,,,,,,,,,,,,,,,
,OCTUBRE,12732697,7560400,6596990,11490263,11912109.83,5903667,10697305,5541550,,,,,,,,,,,,,,,,,,,,,,,,
,NOVIEMBRE,10221753,7355430,10351450,13482352,9403633,6953987,7259988,6901480,,,,,,,,,,,,,,,,,,,,,,,,
,DICIEMBRE,10979454,8377765,10009636,8072834,11129725,3580427,8230584,7106144,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL ,103760306,104916288,104783678,118247162,83661325.83,74569850,74193174,81126868,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MES,GASTOS  2024,GASTOS  2023,GASTOS  2022,GASTOS  2021,GASTOS  2020,GASTOS  2019,GASTOS  2018,GASTOS 2017,,,,,,,,,,,,,,,,,,,,,,,,
