EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,,,
SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA ,,,
FECHA: 31 de AGOSTO  DE 2024,FECHA: 31 de AGOSTO  DE 2024,FECHA: 31 de AGOSTO  DE 2024,FECHA: 31 de AGOSTO  DE 2024,FECHA: 31 de AGOSTO  DE 2024,,,
,,,,,,,
,,,,,,,
1,1,ACTIVO,,,,,
,,,,,,,
11,11,Efectivo y equivalentes al efectivo,,,,,
1105,1105,Caja,,11847444,,,
110505,110505,Caja general,11847444,,,,
,,,,,,,
1120,1120,Cuentas de ahorro,,,,,
112005,112005,Bancos,,29722581,,,
11200501,11200501,BBVA,29722581,,,,
,,,,,,,
,,,,,,,
1380,,DEUDORES SOCIOS ,,2378609,,,
,,liliana ,2378609,,,,
,,Jorge iva ,0,,,,
,,,,,,,
13,13,Cuentas por cobrar (instrumentos financieros),,,,,
1305,1305,Clientes,,5414086,,,
130505,130505,Nacionales,5414086,,,,
,,,,,,,
130515,130515,Deudores facturacion sin iva,,1416140,,,
,,Varios ,1416140,,,,
,,,,,,,
1330,,ANTICIPO PROVEEDORES ,,44773845,,,
,,Puerta de Oro etapa 3,44773845,,,,
,,,,,,,
1355,1355,Anticipo de impuestos y contribuciones o saldos a favor,,3651399,,,
135505,135505,Anticipo de impuestos de renta y complementarios,2471000,,,,
135518,,Reteica ,193219,,,,
135515,135515,Retención en la fuente ,652180,,,,
13559006,13559006,Autorretencion de renta,335000,,,,
,,,,,,,
15,15,Propiedades planta y equipo,,312866893,,,
1516,1516,Construcciones y edificaciones,,,,,
151605,151605,Apto sion ,91000000,,,,
1520,,MAQUINARIA Y EQUIPO ,196269921,,,,187962965
152005,152005,Formaleta,,GONZALEZ BOHORQUEZ,GONZALEZ BOHORQUEZ,GONZALEZ BOHORQUEZ,8306956
1528,1528,Equipo de computación y comunicación,,,,,196269921
152805,152805,Equipo de procesamiento de datos,2109000,,,,
1540,1540,Flota y equipo de transporte,0,,,,
154008,154008,"Camiones, volquetas y furgones",34596000,,,,
1592,1592,Depreciación acumulada,-11108028,,,,
,,,,,,,
16,16,Intangibles,,2548980,,,
1635,1635,Licencias,2548980,,,,
,,,,,,,
TOTAL ACTIVO ,TOTAL ACTIVO ,TOTAL ACTIVO ,,414619977,,,
,,,,,,,
,,,,,,,
2365,2365,Retención en la fuente,,30000,,,
236525,236525,Retención en la fuente,10000,,,,
236706,,Autorretencion,20000,,,,
,,,,,,,
2370,2370,Retenciones y aportes de nómina,,354700,,,
237005,237005,Aportes a entidades promotoras de salud EPS,158800,,,,
237006,237006,Aportes a administradoras de riesgos profesionales arp,41500,,,,
237010,237010,"Aportes al i.c.b.f, sena y cajas compensación",154400,,,,
,,,,,,,
2380,2380,Acreedores varios,,634900,,,
238030,238030,Fondos de cesantías y/o pensiones,634900,,,,
,,,,,,,
,,,,,,,
24,24,"Impuestos, gravámenes y tasas",,2213000,,,
2408,2408,Impuesto sobre las ventas por pagar,2213000,,,,
2412,,industria y comercio ,0,,,,
,,,,,,,
,,,,,,,
26,26,Provisión de pasivos,,,,,
2610,2610,Para obligaciones laborales,,5217163,,,
261005,261005,Cesantías,2890798,,,,
261010,261010,Intereses sobre cesantías,338921,,,,
261015,,Vacaciones,1361600,,,,
261020,,Prima ,625844,,,,
,,,,,,,
,,,,,,,
TOTAL PASIVO ,TOTAL PASIVO ,TOTAL PASIVO ,,8449763,,,
,,,,,,,
,,,,,,,
3,3,PATRIMONIO,,,,,
,,,,,,,
31,31,Capital social,,405112927,,,
3105,3105,Capital suscrito y pagado,405112927,,,,
310505,310505,Capital autorizado suscrito y pagado ,,,,,
,,,,,,,
,,,,,,,
36,36,Resultados del ejercicio,,-6783343.82,,,
361010,361010,Perdida de ejercicio,-6783343.82,,,,
,,,,,,,
,,,,,,,
37,,UTILIDAD DEL EJERCICIO ANTERIORES ,,7840631,,,
370501,,Utilidad de ejercicios anteriores,7840631,,,,
,,,,,,,
,,,,,,,
TOTAL PATRIMONIO ,TOTAL PATRIMONIO ,TOTAL PATRIMONIO ,,406170214.18,,,
,,,,,,,
TOTAL PATRIMONIO  Y PASIVO,TOTAL PATRIMONIO  Y PASIVO,TOTAL PATRIMONIO  Y PASIVO,,414619977.18,,,
,,,,-0.18000000715255737,,,
,,,,0,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
NOTA: UTILIDADES SRA FLOR ALBA  SE ENCUENTRA EN CDT ,,,,,,,
"1 CDT COOMULTRASAN $12,500,000",,,,,,,
"1 CDT BBVA $11,000,000",,,,,,,
