,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2024-01-01,2024-01-01,2024-01-01,2024-01-01,2024-02-01,2024-02-01,2024-02-01,2024-03-01,2024-03-01,2024-03-01,2024-04-01,2024-04-01,2024-04-01,2024-05-01,2024-05-01,2024-05-01,2024-06-01,2024-06-01,2024-06-01,2024-06-01,2024-07-01,2024-07-01,2024-07-01,2024-07-01,2024-08-01,2024-08-01,2024-08-01,2024-08-01,2024-09-01,2024-09-01,2024-09-01,2024-09-01,2024-10-01,2024-10-01,2024-10-01,2024-10-01,2024-11-01,2024-11-01,2024-11-01,2024-11-01
,Mov. 02/01/2023 a 31/01/2023,Mov. 02/01/2023 a 31/01/2023,Saldos a 31/01/23,Saldos a 31/01/23,4,4,Saldos a 28/02/2023,Mov. 01/03/2023 a 31/03/2023,Mov. 01/03/2023 a 31/03/2023,Saldos a 31/03/2023,Mov. 01/04/2023 a 30/04/2023,Mov. 01/04/2023 a 30/04/2023,Saldos a 30/04/2023,Mov. 01/05/2023 a 31/05/2023,Mov. 01/05/2023 a 31/05/2023,Saldos a 31/05/2023,Mov. 01/06/2023 a 30/06/202,Mov. 01/06/2023 a 30/06/202,Saldos a 30/06/2023,Saldos a 30/06/2023,Mov. 01/07/2023 a 31/07/2023,Mov. 01/07/2023 a 31/07/2023,Saldos a 31/07/2022,Saldos a 31/07/2022,Mov. 01/08/2023 a 31/08/2023,Mov. 01/08/2023 a 31/08/2023,Saldos a 30/08/2022,Saldos a 30/08/2022,Mov. 01/09/2022 a 30/09/2022,Mov. 01/09/2022 a 30/09/2022,Saldos a 30/09/2022,Saldos a 30/09/2022,Mov. 01/10/2022 a 31/10/2022,Mov. 01/10/2022 a 31/10/2022,Saldos a 31/10/2022,Saldos a 31/10/2022,Mov. 01/11/2022 a 30/11/2022,Mov. 01/11/2022 a 30/11/2022,Saldos a 30/11/2022,Saldos a 30/11/2022
Nombre,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,
INGRESOS,0,7389490,7389490,,,8720667,16110157,,12280462,28390619,,17607136,45997755,,12093995,58091750,0,8411424,66503174,,,6302884,72806058,,,15173565,87979623,,,,87979623,,,,87979623,,,,87979623,
Operacionales,0,2319055,2319055,,,2198885,4517940,,5345924,9863864,0,5705085,15568949,,6312190,21881139,0,5308821,20877770,,0,1368000,22245770,,,1818800,24064570,,,,24064570,,,,24064570,,,,24064570,
"Actividades inmobiliarias, empresariales y de alquiler",0,2319055,2319055,,0,2198885,4517940,0,5345924,9863864,0,5705085,15568949,0,,15568949,0,5308821,20877770,,0,1368000,22245770,,0,1818800,24064570,,0,,24064570,,0,,24064570,,0,,24064570,
Alquiler IVA,0,2319055,2319055,,0,2073885,4392940,0,4895924,9288864,0,5705085,14993949,0,6107190,21101139,0,4913821,26014960,,0,1343000,27357960,,0,1683800,29041760,,0,,29041760,,0,,29041760,,0,,29041760,
VENTA EQUIPO,,0,,,0,0,,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Transporte,0,,,,0,125000,125000,0,450000,575000,0,,575000,0,205000,780000,0,395000,1175000,,0,25000,1200000,,0,135000,1335000,,0,,1335000,,0,,1335000,,0,,1335000,
,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Devoluciones en ventas (db),,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
Devoluciones en ventas (db),,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,
No operacionales,0,5070435,5070435,,0,6521782,11592217,0,6934538,18526755,0,11902051,30428806,0,5781805,36210611,0,3102603,39313214,,0,4934884,44248098,,,13354765,57602863,,,,57602863,,,,57602863,,,,57602863,
Financieros,0,2035,2035,,0,1690,3725,0,318,4043,0,4977163,4981206,0,621,4981827,0,503,4982330,,0,315,4982645,,,,4982645,,,,4982645,,,,4982645,,,,4982645,
Intereses,0,2035,2035,,0,1690,3725,0,318,4043,0,4977163,4981206,0,621,4981827,0,503,4982330,,0,315,4982645,,0,0,4982645,,0,,4982645,,0,,4982645,,0,,4982645,
intereses prestamos socios,,,,,,0,,,0,,0,0,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,,,,0,0,,
Descuentos comerciales condicionados,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
RECUPERACION CARTERA,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,6535725,6535725,,0,,6535725,,0,,6535725,,0,,6535725,
ASLQUILERES OLVIDADOS,0,,,,0,,,0,,,0,,,0,,,0,,,,0,,,,0,6535725,6535725,,0,,6535725,,0,,6535725,,0,,6535725,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servicios,0,5068360,5068360,,0,6520092,11588452,0,6934220,18522672,0,6924860,25447532,0,5781184,31228716,0,3102100,34330816,,0,4922830,39253646,,0,6819040,46072686,,0,,46072686,,0,,46072686,,0,,46072686,
VENTAS SIN IVA,0,5068360,5068360,,0,6520092,11588452,0,6934220,18522672,,6924860,25447532,,5781184,31228716,0,3102100,34330816,,0,4922830,39253646,,0,6819040,46072686,,0,,46072686,,0,,46072686,,0,,46072686,
DIVERSOS,0,40,40,,0,,40,0,,40,,28,68,,,68,,,68,,,11739,11807,,0,,11807,,0,,11807,,0,,11807,,0,,11807,
Ajuste al peso ,0,40,40,,0,,40,0,,40,,28,68,,,68,,,68,,,11739,11807,,0,,11807,,0,,11807,,0,,11807,,0,,11807,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS,9947041,0,9947041,,13136716,0,23083757,11222287.82,0,34306044.82,13880419,0,48186463.82,12971414,0,61157877.82,10918657,0,72076534.82,,11152404,0,83228938.82,,11534028,0,94762966.82,,,0,94762966.82,,,0,94762966.82,,,0,94762966.82,
Operacionales de administración,9791435,0,9791435,,12943164,0,22734599,11079523,0,33814122,13711828,,47525950,12826136,,60352086,10570147,0,70922233,,10979169,0,81901402,,11383116,0,93284518,,,0,93284518,,,0,93284518,,,0,93284518,
