EQUIORIENTE PRESUPUESTO ,EQUIORIENTE PRESUPUESTO ,EQUIORIENTE PRESUPUESTO 
,,
,,
INGRESOS,INGRESO MENSUAL,INGRESO ANUAL 
VENTAS CON IVA ,,
,,
VENTAS SIN IVA ,,
,,
total ingresos,9294206.143333334,53487580
,,
GASTOS,GASTO MENSUAL,GASTO ANUAL 
,,
Sueldos,3010993,36131916
Auxilio de transporte,102854,1234248
Bono de alimentacion ,339007,4068084
Dotacion ,40000,480000
Prestaciones Sociales,679752.8001,8157033.601199999
Parafiscales ,554926.0099,6659112.118799999
,,
HONORARIOS CONTADOR,320000,3840000
EXOGENA ,20000,240000
,,
IMPUESTOS ,,
Vehiculos ,61000,732000
,,
ARRENDAMIENTOS ,1060000,12720000
Bodega,,
,,
SEGURO ,,
Vehiculo ,55340,664080
Tecnicomecanica ,17000,204000
,,
SERVICIO GENERAL DE ASEO,30000,360000
TEMPORALES ,1200000,14400000
ACUEDUCTO ,60000,720000
ELECTRIFICADORA DE SANTANDER,90000,1080000
TELEFONIA FIJA,87000,1044000
CELULAR ,173000,2076000
TRANSPORTES Y FLETES,100000,300000
AFILIACION A SERVICIO PUBLICO ,10833.333333333334,130000
,,
GASTOS LEGALES ,,
Registro mercantil ,83333.33333333333,1000000
Impuesto de industria y comercio ,25000,300000
,,
MANTENIMIENTO,,
Maquinaria y equipo,56666.666666666664,680000
Equipo de oficina,12500,12500
Equipo de computación y comunicación,25000,25000
Flota y equipo de transportes,100000,1200000
,,
Reparaciones locativas ,40000,480000
,,
,,
PAPELERIA Y FOTOCOPIAS,60000,720000
ELEMENTOS DE ASEO ,50000,600000
FLETES ENCOMIENDAS Y DEMAS,5000,60000
COMBUSTIBLE,200000,2400000
TAXIS BUSES  Y DOMICILIOS,25000,300000
COMBUSTIBLE MANTENIMIENTO,50000,600000
ARRENDAMIENTO MAQUINARIA ,265000,3180000
,,
GASTOS FINANCIEROS ,285000,3420000
,,
,,
TOTAL,9294206.143333334,53487580
