EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,INFORMES FINAL AÑO 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ENERO 2019,ENERO 2019,ENERO 2019,ENERO 2019,FEBRERO 2019,FEBRERO 2019,FEBRERO 2019,MARZO 2019,MARZO 2019,MARZO 2019,MARZO 2019,ABRIL 2019,ABRIL 2019,ABRIL 2019,ABRIL 2019,MAYO 2019,MAYO 2019,MAYO 2019,MAYO 2019,JUNIO 2019,JUNIO 2019,JUNIO 2019,JULIO 2019,JULIO 2019,JULIO 2019,JULIO 2019,AGOSTO 2019,AGOSTO 2019,AGOSTO 2019,AGOSTO 2019,SEPTIEMBRE  2019,SEPTIEMBRE  2019,SEPTIEMBRE  2019,SEPTIEMBRE  2019,OCTUBRE 2019,OCTUBRE 2019,OCTUBRE 2019,OCTUBRE 2019,NOVIEMBRE 2019,NOVIEMBRE 2019,NOVIEMBRE 2019,NOVIEMBRE 2019,DICIEMBRE 2019,DICIEMBRE 2019,DICIEMBRE 2019,DICIEMBRE 2019
Cuenta,Cuenta,Mov. 02/01/2019 a 31/01/2019,Mov. 02/01/2019 a 31/01/2019,Saldos a 31/01/2019,Saldos a 31/01/2019,Mov. 01/02/2019 a 28/02/2019,Mov. 01/02/2019 a 28/02/2019,Saldos a 28/02/2019,Mov. 01/03/2019 a 31/03/2019,Mov. 01/03/2019 a 31/03/2019,Saldos a 31/03/2019,Saldos a 31/03/2019,Mov. 01/04/2019 a 30/04/2019,Mov. 01/04/2019 a 30/04/2019,Saldos a 30/04/2019,Saldos a 30/04/2019,Mov. 02/05/2019 a 31/05/2019,Mov. 02/05/2019 a 31/05/2019,Saldos a 31/01/2019,Saldos a 31/01/2019,Mov. 01/06/2019 a 30/06/2019,Mov. 01/06/2019 a 30/06/2019,Saldos a 28/06/2019,Mov. 01/07/2019 a 31/07/2019,Mov. 01/07/2019 a 31/07/2019,Saldos a 31/07/2019,Saldos a 31/07/2019,Mov. 01/08/2019 a 30/08/2019,Mov. 01/08/2019 a 30/08/2019,Saldos a 30/08/2019,Saldos a 30/08/2019,Mov. 01/09/2019 a 31/09/2019,Mov. 01/09/2019 a 31/09/2019,Saldos a 31/09/2019,Saldos a 31/09/2019,Mov. 01/10/2019 a 31/10/2019,Mov. 01/10/2019 a 31/10/2019,Saldos a 31/10/2019,Saldos a 31/10/2019,Mov. 01/11/2019 a 30/11/2019,Mov. 01/11/2019 a 30/11/2019,Saldos a 30/11/2019,Saldos a 30/11/2019,Mov. 01/12/2019 a 30/12/2019,Mov. 01/12/2019 a 30/12/2019,Saldos a 31/12/2019,Saldos a 31/12/2019
Cód.,Nombre,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,
4,INGRESOS,0,15080037,15080037,,0,13559340,28639377,0,12451739,41091116,,0,16172397,57263513,,0,13539222,70802735,,0,10214483,81017218,0,7723804,88741022,,0,10099562,98840584,,0,8971745,107812329,,0,9132517,116944846,,0,14339766,131284612,,0,15672122,146956734,
41,Operacionales,0,5232922,5232922,,0,6735984,11968906,0,4072345,16041251,,0,8902568,24943819,,0,4831245,29775064,,0,2541098,32316162,0,2060928,34377090,,0,722060,35099150,,0,1921510,37020660,,0,1940050,38960710,,,6096979,45057689,,,10802895,55860584,
4155,"Actividades inmobiliarias, empresariales y de alquiler",0,5232922,5232922,,0,6735984,11968906,0,4072345,16041251,,0,8902568,24943819,,0,4831245,29775064,,0,2541098,32316162,0,2060928,34377090,,0,722060,35099150,,,1921510,37020660,,,1940050,38960710,,,6096979,45057689,,,10802895,55860584,
415520,Alquiler IVA,0,4907922,4907922,,0,6635984,11543906,0,4072345,15616251,,0,8155068,23771319,,0,4596245,28367564,,0,2343598,30711162,0,1900928,32612090,,0,497060,33109150,,0,1771510,34880660,,0,1735050,36615710,,0,5463429,42079139,,0,10412895,52492034,
415525,VENTA EQUIPO,,0,,,0,0,,,,,,,0,,,,0,,,0,0,,0,0,,,0,0,,,0,0,,,0,0,,,0,168550,168550,,0,0,168550,
