EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,,,,
SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA ,SITUACION FINANCIERA ,,,,
A 31 DE DICIEMBRE  DE 2020,A 31 DE DICIEMBRE  DE 2020,A 31 DE DICIEMBRE  DE 2020,A 31 DE DICIEMBRE  DE 2020,A 31 DE DICIEMBRE  DE 2020,,,,
,,,,,,,,
,,,,,,,,
1,1,ACTIVO,,,,,,
,,,,,,,,
11,11,Efectivo y equivalentes al efectivo,,,,,,
1105,1105,Caja,,18368749,,,,
110505,110505,Caja general,18368749,,,,,
1120,1120,Cuentas de ahorro,,,,,,
112005,112005,Bancos,,43071060,,,,
11200501,11200501,BBVA,43071060,,,,,
11200502,,Davivienda,1289007,,,,,
,,,,,,,,
13,13,Cuentas por cobrar (instrumentos financieros),,,,,,
1305,1305,Clientes,,6075013.745,,,,
130505,130505,Nacionales,,,,,,
,,Fenix Constructores ,5655681.745,,,,,
,,Gonzalez Bohorques,419332,,,,,
,,Ajc Inmobiliaria,1314587,,,,,
,,,,,,,,
130515,130515,Deudores facturacion sin iva,,12177061,,,,
,,Miriam Serrano ,6423723,,,,,
,,Clientes varios ,5753338,,,,,
,,,,,,,,
1355,1355,Anticipo de impuestos y contribuciones o saldos a favor,,4253045,,,,
135505,135505,Anticipo de impuestos de renta y complementarios,413000,,,,,
135518,,Reteica ,326615,,,,,
135515,135515,Retención en la fuente ,3006385,,,,,
135517,135517,Impuesto a las ventas retenido,153045,,,,,
13559006,13559006,Autorretencion de renta,354000,,,,,
,,,,,,,,
14,14,Inventarios,,163235452,,,,
1435,1435,Mercancías no fabricadas por la empresa,163235452,,,,,
,,,,,,,,
,,,,,,,,
15,15,Propiedades planta y equipo,,373330511,,,,
1512,1512,Maquinaria y equipos en montaje,10126196,,,,,
151210,151210,Equipo de oficina,10126196,,,,,
1516,1516,Construcciones y edificaciones,381000000,,,,,
151605,151605,Apto sion ,91000000,,,,,
151610,151610,Apto tamara,290000000,,,,,
1524,1524,Equipo de oficina,1070000,,,,,
152410,152410,Equipos,1070000,,,,,
1528,1528,Equipo de computación y comunicación,3109000,,,,,
152805,152805,Equipo de procesamiento de datos,3109000,,,,,
1540,1540,Flota y equipo de transporte,34596000,,,,,
154008,154008,"Camiones, volquetas y furgones",34596000,,,,,
1592,1592,Depreciación acumulada,-56570685,,,,,
,,MAQUINARIA Y EQUIPO ,-9040688,,,,,
,,EQUIPO DE CONSTRUCCION,-36470801,,,,,
,,EQUIPO DE OFICINA,-136796,,,,,
,,EQUIPO DE COMPUTO,-543600,,,,,
,,Flota y equipo de transporte,-10378800,,,,,
,,,,,,,,
16,16,Intangibles,,2548980,,,,
1635,1635,Licencias,2548980,,,,,
,,,,,,,,
TOTAL ACTIVO ,TOTAL ACTIVO ,TOTAL ACTIVO ,,623059871.745,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
2365,2365,Retención en la fuente,,400000,,,,
236525,236525,Retención en la fuente,374000,,,,,
236706,,Autorretencion,26000,,,,,
,,,,,,,,
2370,2370,Retenciones y aportes de nómina,,336200,,,,
237005,237005,Aportes a entidades promotoras de salud EPS,107700,,,,,
237006,237006,Aportes a administradoras de riesgos profesionales arp,65600,,,,,
237010,237010,"Aportes al i.c.b.f, sena y cajas compensación",162900,,,,,
2380,2380,Acreedores varios,,430500,,,,
238030,238030,Fondos de cesantías y/o pensiones,430500,,,,,
,,,,,,,,
,,,,,,,,
24,24,"Impuestos, gravámenes y tasas",,1073000,,,,
2408,2408,Impuesto sobre las ventas por pagar,637000,,,,,
2412,,industria y comercio ,436000,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
26,26,Provisión de pasivos,,,,,,
2610,2610,Para obligaciones laborales,,,,,,
261005,261005,Cesantías,0,,,,,
261010,261010,Intereses sobre cesantías,0,,,,,
261015,,Vacaciones,0,,,,,
261020,,Prima ,0,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
22,22,PROVEEDORES,,,,,,
2205,2205,Nacionales,,4052548,,,,
221005,221005,Proveedores por debajo,,,,,,
,,Olga gomez (metalmartinez),4052548,,,,,
,,,,,,,,
,,,,,,,,
TOTAL PASIVO ,TOTAL PASIVO ,TOTAL PASIVO ,TOTAL PASIVO ,6292248,,,,
,,,,,,,,
,,,,,,,,
3,3,PATRIMONIO,,,,,,
,,,,,,,,
31,31,Capital social,,574301990,,,,
3105,3105,Capital suscrito y pagado,574301990,,,,,
310505,310505,Capital autorizado,,,,,,
,,,,,,,,
,,,,,,,,
36,36,Resultados del ejercicio,,14465633.829999998,,,,
3605,3605,Utilidad del ejercicio,14465633.829999998,,,,,
360501,360501,Utilidad del ejercicio,14465633.829999998,,,,,
,,,,,,,,
37,,UTILIDAD DEL EJERCICIO ANTERIORES ,,28000000,,,,5320000
37,,Utilidad de ejercicios anteriores,28000000,,,,,
,,,,,,,,
,,,,,,,,
TOTAL PATRIMONIO ,TOTAL PATRIMONIO ,TOTAL PATRIMONIO ,TOTAL PATRIMONIO ,616767623.83,,,,
,,,,,,,,
TOTAL PATRIMONIO  Y PASIVO,TOTAL PATRIMONIO  Y PASIVO,TOTAL PATRIMONIO  Y PASIVO,TOTAL PATRIMONIO  Y PASIVO,623059871.83,,,,
,,,,,,,,
,,,,0,,,,
,,,,-0.08500003814697266,,,,
