EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,INFORMES AÑO 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2020-01-01,2020-01-01,2020-01-01,2020-01-01,2020-02-01,2020-02-01,2020-02-01,2020-03-01,2020-03-01,2020-03-01,2020-03-01,2020-04-01,2020-04-01,2020-04-01,2020-04-01,2020-05-01,2020-05-01,2020-05-01,2020-05-01,2020-06-01,2020-06-01,2020-06-01,2020-07-01,2020-07-01,2020-07-01,2020-07-01,2020-08-01,2020-08-01,2020-08-01,2020-08-01,2020-09-01,2020-09-01,2020-09-01,2020-09-01,2020-10-01,2020-10-01,2020-10-01,2020-10-01,2020-11-01,2020-11-01,2020-11-01,2020-11-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01
Cuenta,Cuenta,Mov. 02/01/2020 a 31/01/2020,Mov. 02/01/2020 a 31/01/2020,Saldos a 31/01/2020,Saldos a 31/01/2020,Mov. 01/02/2020 a 28/02/2020,Mov. 01/02/2020 a 28/02/2020,Saldos a 28/02/2020,Mov. 01/03/2020 a 31/03/2020,Mov. 01/03/2020 a 31/03/2020,Saldos a 31/03/2020,Saldos a 31/03/2020,Mov. 01/04/2020 a 30/04/2020,Mov. 01/04/2020 a 30/04/2020,Saldos a 30/04/2020,Saldos a 30/04/2020,Mov. 02/05/2020 a 31/05/2020,Mov. 02/05/2020 a 31/05/2020,Saldos a 31/01/2020,Saldos a 31/01/2020,Mov. 01/06/2020 a 30/06/2020,Mov. 01/06/2020 a 30/06/2020,Saldos a 28/06/2020,Mov. 01/07/2020 a 31/07/2020,Mov. 01/07/2020 a 31/07/2020,Saldos a 31/07/2020,Saldos a 31/07/2020,Mov. 01/08/2020 a 30/08/2020,Mov. 01/08/2020 a 30/08/2020,Saldos a 30/08/2020,Saldos a 30/08/2020,Mov. 01/09/2020 a 31/09/2020,Mov. 01/09/2020 a 31/09/2020,Saldos a 31/09/2020,Saldos a 31/09/2020,Mov. 01/10/2020 a 31/10/2020,Mov. 01/10/2020 a 31/10/2020,Saldos a 31/10/2020,Saldos a 31/10/2020,Mov. 01/11/2020 a 30/11/2020,Mov. 01/11/2020 a 30/11/2020,Saldos a 30/11/2020,Saldos a 30/11/2020,Mov. 01/12/2020 a 30/12/2020,Mov. 01/12/2020 a 30/12/2020,Saldos a 31/12/2020,Saldos a 31/12/2020
Cód.,Nombre,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,
4,INGRESOS,0,16317677,16317677,,0,18355496,34673173,0,19002187,53675360,,0,2118814,55794174,,0,3692905,59487079,,0,22654975,82142054,0,15859686,98001740,,0,13147172,111148912,,0,16313657,127462569,,0,19079629.83,146542198.82999998,,0,15904178,162446376.82999998,,0,18762225,181208601.82999998,
41,Operacionales,0,9772741,9772741,,0,8662267,18435008,0,11213082,29648090,,0,109000,29757090,,0,,29757090,,0,15088775,44845865,0,5107405,49953270,,0,4348355,54301625,,0,5343486,59645111,,0,5206920,64852031,,,4539945,69391976,,,5671900,75063876,
4155,"Actividades inmobiliarias, empresariales y de alquiler",0,9772741,9772741,,0,8662267,18435008,0,11213082,29648090,,0,109000,29757090,,0,,29757090,,0,15088775,44845865,0,5107405,49953270,,0,4348355,54301625,,,5343486,59645111,,,5206920,64852031,,,4539945,69391976,,,5671900,75063876,
415520,Alquiler IVA,0,9455741,9455741,,0,8079667,17535408,0,10928082,28463490,,0,84000,28547490,,0,0,28547490,,0,13738340,42285830,0,4717405,47003235,,0,4228355,51231590,,0,5253486,56485076,,,5206920,61691996,,0,4539945,66231941,,0,5531900,71763841,
415525,VENTA EQUIPO,,0,,,0,0,,,0,,,,0,,,,0,,,0,0,,0,0,,,0,0,,,0,,,,0,0,,,0,0,,,0,0,,
415515,Transporte,0,317000,317000,,0,582600,899600,0,285000,1184600,,0,25000,1209600,,0,0,1209600,,0,1350435,2560035,0,390000,2950035,,0,120000,3070035,,0,90000,3160035,,0,0,3160035,,0,0,3160035,,0,140000,3300035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,No operacionales,0,6544936,6544936,,0,9693229,16238165,0,7789105,24027270,,0,2009814,26037084,,0,3692905,29729989,,0,7566200,37296189,0,10752281,48048470,,0,8798817,56847287,,0,10970171,67817458,,0,13872709.83,81690167.83,,0,11364233,93054400.83,,0,13090325,106144725.83,
4210,Financieros,0,98461,98461,,0,119593,218054,0,116227,334281,,0,120723,455004,,0,7961,462965,,0,9258,472223,0,5860,478083,,0,6465,484548,,0,6863,491411,,0,7468,498879,,0,3771,502650,,0,3436,506086,
421005,Intereses,0,389,389,,0,8163,8552,0,4797,13349,,0,9293,22642,,0,7961,30603,,0,9258,39861,0,5860,45721,,0,6465,52186,,0,6863,59049,,0,7468,66517,,0,3771,70288,,0,3436,73724,
421095,intereses prestamos socios,,98072,98072,,,111430,209502,,111430,320932,,,111430,432362,,,,,,,,,,0,,,,0,,,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4220,ARRENDAMIENTOS APARTAMENTOS,0,1888800,1888800,,0,1888800,3777600,0,1888800,5666400,,0,1888800,7555200,,0,1888800,9444000,,0,1682900,11126900,0,1682900,12809800,,0,1936100,14745900,,0,1855700,16601600,,0,1960600,18562200,,0,1960600,20522800,,0,1960600,22483400,
422010,Apartamentos Arrendados,0,1888800,1888800,,0,1888800,3777600,0,1888800,5666400,,0,1888800,7555200,,0,1888800,9444000,,0,1682900,11126900,0,1682900,12809800,,0,1936100,14745900,,0,1855700,16601600,,0,1960600,18562200,,0,1960600,20522800,,0,1960600,22483400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4235,Servicios,0,4555634,4555634,,0,7684835,12240469,0,5784014,18024483,,0,,18024483,,0,1735600,19760083,,0,5171840,24931923,0,8361192,33293115,,0,6855832,40148947,,0,9106991,49255938,,0,11904424,61160362,,0,9399435,70559797,,0,11126088,81685885,
423510,VENTAS SIN IVA,0,4555634,4555634,,0,7684835,12240469,0,5784014,18024483,,0,0,18024483,,0,1735600,19760083,,0,5171840,24931923,0,8361192,33293115,,0,6855832,40148947,,0,9106991,49255938,,0,11904424,61160362,,0,9399435,70559797,,0,11126088,81685885,
4295,DIVERSOS,0,2041,2041,,0,1,2042,0,64,2106,,0,291,2397,,0,60544,62941,,0,702202,765143,0,702329,1467472,,0,420,1467892,,0,617,1468509,,0,217.83,1468726.83,,0,427,1469153.83,,0,201,1469354.83,
429581,Ajuste al peso ,0,2041,2041,,0,1,2042,0,64,2106,,0,291,2397,,0,60544,62941,,0,702202,765143,0,702329,1467472,,0,420,1467892,,0,617,1468509,,0,217.83,1468726.83,,0,427,1469153.83,,0,201,1469354.83,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,GASTOS,11744572,0,11744572,,13567384,0,25311956,11094912,0,36406868,,8654656,0,45061524,,11139699,0,56201223,,13198472,0,69399695,11738973,0,81138668,,11240136,0,92378804,,11325056,0,103703860,,14796625,0,118500485,,15785972,0,134286457,,13034178,0,147320635,
51,Operacionales de administración,11085668,0,11085668,,13257332,0,24343000,10689110,0,35032110,,8333942,0,43366052,,10779740,0,54145792,,12830518,0,66976310,11399718,0,78376028,,10811171,0,89187199,,11022465,0,100209664,,14479282,0,114688946,,15438511,0,130127457,,12665615,0,142793072,
5105,Gastos de personal,2240070,0,2240070,,4589258,0,6829328,3812340,0,10641668,,2438298,0,13079966,,4265577,0,17345543,,4726603,0,22072146,4759971,0,26832117,,4463934,0,31296051,,4682010,0,35978061,,4764290,0,40742351,,4766659,0,45509010,,4185647,0,49694657,
510506,Sueldos,1266596,0,1266596,,2860993,0,4127589,2308429,0,6436018,,1806596,0,8242614,,2890994,0,11133608,,2980994,0,14114602,3010994,0,17125596,,2810261,0,19935857,,3010994,0,22946851,,3010994,0,25957845,,3010994,0,28968839,,2690261,0,31659100,
5105,Horas extras ,0,0,0,,0,0,0,0,0,0,,0,0,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
510527,Auxilio de transporte,0,0,,,85712,0,85712,78855,0,164567,,0,0,164567,,89140,0,253707,,99426,0,353133,102854,0,455987,,95997,0,551984,,102854,0,654838,,102854,0,757692,,102854,0,860546,,82283,0,942829,
510530,Cesantías,105507,0,105507,,298275,0,403782,298275,0,702057,,137467,0,839524,,298275,0,1137799,,298275,0,1436074,298275,0,1734349,,259384,0,1993733,,259384,0,2253117,,259384,0,2512501,,259384,0,2771885,,50063,0,2821948,
510533,Intereses sobre cesantías,12666,0,12666,,29467,0,42133,23872,0,66005,,28218,0,94223,,37981,0,132204,,28217,0,160421,28217,0,188638,,20823,0,209461,,28218,0,237679,,28218,0,265897,,28218,0,294115,,14475,0,308590,
510536,Prima de servicios,105507,0,105507,,298275,0,403782,298275,0,702057,,137467,0,839524,,298275,0,1137799,,298275,0,1436074,298275,0,1734349,,259384,0,1993733,,259384,0,2253117,,259384,0,2512501,,259384,0,2771885,,50063,0,2821948,
510539,Vacaciones,52817,0,52817,,126868,0,179685,126868,0,306553,,75335,0,381888,,126868,0,508756,,126868,0,635624,126868,0,762492,,126868,0,889360,,126868,0,1016228,,126868,0,1143096,,126868,0,1269964,,141010,0,1410974,
510545,Auxilios,203405,0,203405,,339008,0,542413,259906,0,802319,,0,0,802319,,169504,0,971823,,339008,0,1310831,339008,0,1649839,,327708,0,1977547,,339008,0,2316555,,339008,0,2655563,,339008,0,2994571,,316407,0,3310978,
510551,Dotación y elementos seguridad  trabajadores,103000,0,103000,,,0,103000,0,0,103000,,22269,0,125269,,0,0,125269,,0,0,125269,0,0,125269,,0,0,125269,,0,0,125269,,24000,0,149269,,8403,0,157672,,,0,157672,
