,,,,,
,,,DEPRECIACION ANUAL,,
,Maquinaria y equipos en montaje,10126196,,,
,Equipo de oficina,10126196,1012619.6,84384.96666666666,
,Construcciones y edificaciones,381000000,,,
,Apto sion ,91000000,3033333.3333333335,252777.77777777778,1058333.3333333333
,Apto tamara,290000000,9666666.666666666,805555.5555555555,
,Equipo de oficina,1070000,,,
,Equipos,1070000,107000,8916.666666666666,
,Equipo de computación y comunicación,3109000,,,
,Equipo de procesamiento de datos,3109000,621800,51816.666666666664,
,Flota y equipo de transporte,34596000,,,
,"Camiones, volquetas y furgones",34596000,6919200,576600,
,,,21360619.6,1780051.6333333333,
