EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,EQUIORIENTE LTDA,,,,,,,,,,,,,,,,
INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,INFORMES AÑO 2021,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-02-01,2021-02-01,2021-02-01,2021-03-01,2021-03-01,2021-03-01,2021-03-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,2021-05-01,2021-05-01,2021-05-01,2021-05-01,2021-06-01,2021-06-01,2021-06-01,2021-06-01,2021-07-01,2021-07-01,2021-07-01,2021-07-01,2021-08-01,2021-08-01,2021-08-01,2021-08-01
Cuenta,Cuenta,Mov. 02/01/2021 a 31/01/2021,Mov. 02/01/2021 a 31/01/2021,Saldos a 31/01/1,Saldos a 31/01/1,Mov. 01/02/2021 a 28/02/2021,Mov. 01/02/2021 a 28/02/2021,Saldos a 28/02/2021,Mov. 01/03/2021 a 31/03/2021,Mov. 01/03/2021 a 31/03/2021,Saldos a 31/03/2021,Saldos a 31/03/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Saldos a 30/04/2021,Saldos a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,Mov. 01/04/2021 a 30/04/2021,c vvvvvv,c vvvvvv
Cód.,Nombre,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,,Débitos ,Créditos ,Saldo actual ,
4,INGRESOS,0,11344635,11344635,,0,12286773,23631408,0,14156650,37788058,,0,15531100,53319158,,0,14472469,67791627,,0,19253718,87045345,,0,12791478,99836823,,0,14702304,114539127,
41,Operacionales,0,4088450,4088450,,0,3444630,7533080,0,4294490,11827570,,0,3094715,14922285,,0,3036250,17958535,,0,3220640,21179175,,0,2982171,24161346,,0,2259634,26420980,
4155,"Actividades inmobiliarias, empresariales y de alquiler",0,4088450,4088450,,0,3444630,7533080,0,4294490,11827570,,0,3094715,14922285,,0,3036250,17958535,,0,3220640,21179175,,0,2982171,24161346,,0,2259634,26420980,
415520,Alquiler IVA,0,4058450,4058450,,0,3409630,7468080,0,4294490,11762570,,0,3019715,14782285,,0,3036250,17818535,,0,3175640,20994175,,0,2982171,23976346,,0,2259634,26235980,
415525,VENTA EQUIPO,,0,,,0,0,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,
415515,Transporte,0,30000,30000,,0,35000,65000,0,0,65000,,0,75000,140000,,0,0,140000,,0,45000,185000,,0,0,185000,,0,0,185000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,No operacionales,0,7256185,7256185,,0,8842143,16098328,0,9862160,25960488,,0,12436385,38396873,,0,11436219,49833092,,0,16033078,65866170,,0,9809307,75675477,,0,12442670,88118147,
4210,Financieros,0,3538,3538,,0,3553,7091,0,1206,8297,,0,112,8409,,0,444,8853,,0,681,9534,,0,570,10104,,0,644,10748,
421005,Intereses,0,3538,3538,,0,3553,7091,0,1206,8297,,0,112,8409,,0,444,8853,,0,681,9534,,0,570,10104,,0,644,10748,
421095,intereses prestamos socios,,,,,,0,,,0,,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4220,ARRENDAMIENTOS APARTAMENTOS,0,1960600,1960600,,0,1960600,3921200,0,1960600,5881800,,0,1960600,7842400,,0,1960600,9803000,,0,1960600,11763600,,0,1960600,13724200,,0,1960600,15684800,
422010,Apartamentos Arrendados,0,1960600,1960600,,0,1960600,3921200,0,1960600,5881800,,0,1960600,7842400,,0,1960600,9803000,,0,1960600,11763600,,0,1960600,13724200,,0,1960600,15684800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4235,Servicios,0,5292010,5292010,,0,6877990,12170000,0,7900354,20070354,,0,10475673,30546027,,0,9475175,40021202,,0,14071797,54092999,,0,7846784,61939783,,0,10481424,72421207,
423510,VENTAS SIN IVA,0,5292010,5292010,,0,6877990,12170000,0,7900354,20070354,,0,10475673,30546027,,0,9475175,40021202,,0,14071797,54092999,,0,7846784,61939783,,0,10481424,72421207,
4295,DIVERSOS,0,37,37,,0,,37,0,,37,,0,,37,,0,,37,,0,,37,,0,1353,1390,,0,2,1392,3
429581,Ajuste al peso ,0,37,37,,0,,37,0,,37,,0,0,37,,0,0,37,,0,0,37,,0,1353,1390,,0,2,1392,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
