,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,MES,VENTAS FISCALES 2021,VENTAS FISCALES 2020,VENTAS FISCALES 2019,VENTAS FISCALES 2018,VENTAS FISCALES 2017,,,,,,,,,
,MAYO ,3036250,,4831245,2070588,1563099,,,,,,,,,
,JUNIO ,3220640,15088775,2541098,4186225,2504537,,,,,,,,,
,JULIO,2982171,5107405,2060928,3502320,14376812,,,,,,,,,
,AGOSTO,2259634,4348355,722060,13456626,9843168,,,,,,,,,
,TOTAL,11498695,24544535,10155331,23215759,28287616,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,MES,VENTAS SIN IVA 2021,VENTAS SIN IVA 2020,VENTAS SIN IVA 2019,VENTAS SIN IVA 2018,VENTAS SIN IVA 2017,,,,MES,VENTA ACUMULADA 2021,VENTA ACUMULADA 2020,VENTA ACUMULADA 2019,VENTA ACUMULADA 2018,VENTA ACUMULADA 2017
,MAYO ,9475619,1804105,7419178,5721041,13796936,,,,MAYO ,12511869,1804105,12250423,7791629,15360035
,JUNIO ,14072478,5883300,6384585,4021740,6565667,,,,JUNIO ,17293118,20972075,8925683,8207965,9070204
,JULIO,7847354,9069381,4374077,1959742,6138041,,,,JULIO,10829525,14176786,6435005,5462062,20514853
,AGOSTO,10482068,6862717,8088583,4820282,5449400,,,,AGOSTO,12741702,11211072,8810643,18276908,15292568
,TOTAL,41877519,23619503,26266423,16522805,31950044,,,,TOTAL,53376214,48164038,36421754,39738564,60237660
,,53376214,48164038,36421754,39738564,60237660,,,,,,,,,
,,,,,,,,,,,,,,,
,MES,GASTOS 2021,GASTOS 2020,GASTOS 2019,GASTOS 2018,GASTOS 2017,,,,,,,,,
,MAYO ,11744516.633333333,10909925,10164486,8014528,10155182,,,,,,,,,
,JUNIO ,12797380,12990071,8433671,7385244,14240736,,,,,,,,,
,JULIO,13357892,11530572,8752682,7676064,10531315,,,,,,,,,
,AGOSTO,12441445,11013798,10250005,9472439,10083753,,,,,,,,,
,TOTAL,50341233.63333333,46444366,37600844,32548275,45010986,,,,,,,,,
,,0.08,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,MES,UTILIDAD 2021,UTILIDAD 2020,UTILIDAD  2019,UTILIDAD 2018,UTILIDAD 2017,,,,,,,,,
,MAYO ,767352.3666666672,-9105820,2085937,-222899,5204853,,,,,,,,,
,JUNIO ,4495738,7982004,492012,822721,-5170532,,,,,,,,,
,JULIO,-2527014,2646214,-2317677,-2214002,9983538,,,,,,,,,
,AGOSTO,300257,197274,-1439362,8804469,5208815,,,,,,,,,
,TOTAL,3036333.366666667,1719672,-1179090,7190289,15226674,,,,,,,,,
