,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,MES,VENTAS FISCALES 2025,VENTAS FISCALES 2024,VENTAS FISCALES 2023,VENTAS FISCALES 2022,VENTAS FISCALES 2021,VENTAS FISCALES 2020,VENTAS SIN IVA 2025,VENTAS SIN IVA 2024,VENTAS SIN IVA 2023,VENTAS SIN IVA 2022,VENTAS SIN IVA 2021,VENTAS SIN IVA 2020,GASTOS 2025,GASTOS 2024,GASTOS 2023,GASTOS 2022,GASTOS 2021,GASTOS 2020,UTILIDAD 2025,UTILIDAD 2024,UTILIDAD 2023,UTILIDAD 2022,UTILIDAD 2021,UTILIDAD 2020
,ENERO ,496100,2319055,0,6308768,4088450,9772741,3154060,5070435,4878660,3100823,5295548,4656136,10157985,9947041,10152266,8340075.44,9031235,11183760,-6507825,-2557551,-5273606,-1150802.4400000004,352800,3245117
,FEBRERO ,24370,2198885,4332104,3904163,3444630,8662267,8170074,6521782,4693673,7094524,6881543,7804429,12636419,13136716,13410419,9969598,12420337,13337610,-4441975,-4416049,-4384642,569556,-2094164,3129086
,MARZO,100949,5345924,11179580,6104727,4294490,11213082,15848964,6934538,12062967,11156171,7901560,5900305,15699505,11222287.82,16907266,11403558,13591375,10865138,250408,1058174.1799999997,6335281,4047103,-1395325,6248249
,ABRIL ,55000,5705085,6476561,4771392,3094715,109000,8045964,11902051,13101458,11179990,10475785,121014,13845188,13880419,12557124,11689725,17060981,8424882,-5744224,3726717,7020895,2584980,-3490481,-8194868
,MAYO ,4552322,6312190,2948466,3195437,3036250,0,13860164,5781805,11011958,9141636,9475619,1804105,16159541,12971414,15171959,11286631,11744516.633333333,10909925,2252945,-877419,-1211535,891255,767352.3666666672,-9105820
,JUNIO ,4248410,5308821,5460313,3587643,3220640,15088775,7977361,3102603,9771991,6890613,14072478,5883300,13183791,10918657,10729339,12304971,12797380,12990071,-958020,-2507233,4502965,-2193718,4495738,7982004
,JULIO ,5508975,1368000,5032261,5002298,2982171,5107405,9013371,4934884,5870486,8564817,7847354,9069381,13164418,11152404,10792468,12624706,13357892,11530572,1357928,-4849520,110279,-1077718,-2527014,2646214
,AGOSTO ,1143000,1818800,7904377,6292782,2259634,4348355,18563466,13355048,7730780,12002561,10482068,6862717,12998509,11530628,10381456,0,12441445,11013798,6707957,3643220,5253701,14262195,299710,197274
,SEPTIEMBRE,1275896,2263580,11362855,9534674,4199993,5343486,11325371,12223256,12500720,8694467,12769758,9114471,15385036,14014468,14685440,10423141,14262071,11098718,-2783769,472368,9178135,2471319,2707680,3359239
,OCTUBRE,914530,3401625,9491748,8627180,5953903,5206920,12517646,12732697,7560400,6596990,11490263,11912109.83,15449005,14110605,22974686,10630364,11384483,14559398,-2016829,2023717,-5922538,1920529,6059683,2559631.829999998
