Fecha documento,Documento #,Cuenta - Cód.,Cuenta - Nombre de la cuenta NIIF,Tercero - Cód.,Tercero - Nombre-apellido,CC imputado - Cód.,Débito,Crédito,Saldo
2025-01-31,CI-000160,13551504,Ret. por servicios en general,900133059,CUBYCO CONSTRUCTORES SA,,17280,0,17280
2025-01-31,CI-000160,13551504,Ret. por servicios en general,901765638,INVERSIONES G Y C23 S.A.S.,,44031.9,0,44031.9
2025-01-31,CI-000160,13551504,Ret. por servicios en general,901765638,INVERSIONES G Y C23 S.A.S.,,2400,0,2400
2025-01-31,CI-000160,13551504,Ret. por servicios en general,91540549,PERFOSANDER L,,24960,0,24960
2025-01-31,CI-000160,13551504,Ret. por servicios en general,91540549,PERFOSANDER L,,1500,0,1500
2025-01-31,CI-000160,13551504,Ret. por servicios en general,800029520,INVERSIONES ULLOA MONSALVE SAS,,4992,0,4992
2025-01-31,CI-000160,13551504,Ret. por servicios en general,800029520,INVERSIONES ULLOA MONSALVE SAS,,250,0,250
2025-06-30,CI-000172,13551504,Ret. por servicios en general,901906600,STERICARE PLUS SAS,,23027,0,23027
2025-06-30,CI-000172,13551504,Ret. por servicios en general,901906600,STERICARE PLUS SAS,,1200,0,1200
2025-06-30,CI-000172,13551504,Ret. por servicios en general,901906600,STERICARE PLUS SAS,,59680,0,59680
2025-06-30,CI-000172,13551504,Ret. por servicios en general,901906600,STERICARE PLUS SAS,,1000,0,1000
2025-06-30,CI-000172,13551504,Ret. por servicios en general,901906600,STERICARE PLUS SAS,,8640,0,8640
2025-06-30,CI-000172,13551504,Ret. por servicios en general,804008900,EDUSYS SISTEMAS LTDA,,126390,0,126390
2025-06-30,CI-000172,13551504,Ret. por servicios en general,804008900,EDUSYS SISTEMAS LTDA,,4175.5,0,4175.5
2025-07-31,CI-000171,13551504,Ret. por servicios en general,804008900,EDUSYS SISTEMAS LTDA,,163398,0,163398
2025-07-31,NT-2507008,13551503,Ret. por comisiones,900206797,INMOBILIARIA E INGENIERIA AJC LTDA,,10096,0,10096
2025-07-31,NT-2507009,13551508,Ret. por rendimientos financieros.,900206780,ALQILERES Y EQIPOS DEL ORIENTE,,66920,0,66920
2025-08-31,NT-2508006,13551503,Ret. por comisiones,900206797,INMOBILIARIA E INGENIERIA AJC LTDA,,10096,0,10096
,,,,,,,570036.4,,
