PRODUCTOS DE ALIMENTOS ALINA,PRODUCTOS DE ALIMENTOS ALINA,PRODUCTOS DE ALIMENTOS ALINA,PRODUCTOS DE ALIMENTOS ALINA,PRODUCTOS DE ALIMENTOS ALINA,
CRA 19 #5-21,CRA 19 #5-21,CRA 19 #5-21,CRA 19 #5-21,CRA 19 #5-21,
MOVIMIENTO:JULIO 16 al 18/2025,MOVIMIENTO:JULIO 16 al 18/2025,MOVIMIENTO:JULIO 16 al 18/2025,MOVIMIENTO:JULIO 16 al 18/2025,MOVIMIENTO:JULIO 16 al 18/2025,
MATERIAL,12863,12864,11650,SALDO,
,2025-07-16,2025-07-17,2025-07-18,2025-07-19,
"MARCOS DE ANDAMIO 1,50 ROJOS",2,2,-4,,
"2 CRUCETAS DE 2,00 MTROS",2,2,-4,,
TABLONES LARGOS 3 MTROS,2,,-2,,
HORA,3.20,07:00,03:10,,
Transporte,***,A PIE,***,,
ABONO $ 47000,,,,,
,,,,,
"EQUIORIENTE SAS  NIT.900,206,780-7","EQUIORIENTE SAS  NIT.900,206,780-7","EQUIORIENTE SAS  NIT.900,206,780-7","EQUIORIENTE SAS  NIT.900,206,780-7","EQUIORIENTE SAS  NIT.900,206,780-7","EQUIORIENTE SAS  NIT.900,206,780-7"
PRODUCTORA ALIMESNTOS ALINA ,PRODUCTORA ALIMESNTOS ALINA ,PRODUCTORA ALIMESNTOS ALINA ,PRODUCTORA ALIMESNTOS ALINA ,PRODUCTORA ALIMESNTOS ALINA ,PRODUCTORA ALIMESNTOS ALINA 
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,PRECIO DIARIO
SECCION DE ANDAMIOS,5,2,2000,4000,20000
TABLONES DE 3 MTROS,5,2,750,1500,7500
,,TOTAL DIAS,TOTAL DIAS,27500,
,,IVA,IVA,5225,
,,LTRANSPORTE,LTRANSPORTE,15000,
,, GRANTOTAL, GRANTOTAL,47725,
