EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL,EDUSYSTEMAS/MARICELL
CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO,CRA 37#42-83TEL:3012077293 CESAR AUGUSTO
MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025,MOVIMIENTO:JULIO 1 A AGOSTO 5/ 2025
MATERIAL,SALDO,12820,11631,12845,12838,12869,12879,11668,11695,11710,SALDO 
MATERIAL,2025-06-30,2025-07-01,2025-07-10,2025-07-11,2025-07-10,2025-07-18,2025-07-22,2025-07-24,2025-08-05,2025-08-05,2025-08-05
MARCOS DE ANDAMIOS 1.50 VERDES,4,,,,,,,,,,4
CRUCETAS 2.40,4,,,,,,,,,,4
TABLONES  DE 3 MTROS,7,,,,,,,,,,7
FORMALETA DE 15*1.20,16,,-16,,,,,,,,
FORMALETA DE 40*1.20,20,,-20,,,48,4,,-52,,
"FORMALETA DE 35*1,20",,,,,,,2,,-2,,
FORMALETA DE 30*1.20,12,,-12,,,,1,,-1,,
"FORMALETA DE 20*1,20",,,,,,2,1,,-3,,
FORMALETA DE 10*1.20,0,,,,,,,,,,
FORMALETA DE 5*1.20,0,,,,,,2,,-2,,
"FORMALETA DE 45*1,20",,,,,,,16,,-16,,
