INVERSIONES G Y 23,INVERSIONES G Y 23,INVERSIONES G Y 23,INVERSIONES G Y 23,INVERSIONES G Y 23,INVERSIONES G Y 23,INVERSIONES G Y 23
CRA 50 #71-55 LAGOS DEL CACIQUE TEL: 3214037674,CRA 50 #71-55 LAGOS DEL CACIQUE TEL: 3214037674,CRA 50 #71-55 LAGOS DEL CACIQUE TEL: 3214037674,CRA 50 #71-55 LAGOS DEL CACIQUE TEL: 3214037674,CRA 50 #71-55 LAGOS DEL CACIQUE TEL: 3214037674,CRA 50 #71-55 LAGOS DEL CACIQUE TEL: 3214037674,CRA 50 #71-55 LAGOS DEL CACIQUE TEL: 3214037674
MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025,MOVIMIENTO:JULIO/2025
MATERIAL,12851,,,,,SALDO
,2025-07-14,,,,,2025-08-13
POLEAS,2,,,,,2
"TABLEROS DE MADERA 70*1,40",6,,,,,6
ANGULOS PARA POLEA 6 MTROS,2,,,,,2
PASAMANOS DE 6 MTROS,1,,,,,1
HORA,07:30,,,,,
Transporte,50000,,,,,
,,,,,,
,,,,,,
,,,,,,
INVERSIONES G & C 23,INVERSIONES G & C 23,INVERSIONES G & C 23,INVERSIONES G & C 23,INVERSIONES G & C 23,INVERSIONES G & C 23,
JULIO 14 A AGOSTO 13,JULIO 14 A AGOSTO 13,JULIO 14 A AGOSTO 13,JULIO 14 A AGOSTO 13,JULIO 14 A AGOSTO 13,JULIO 14 A AGOSTO 13,
MATERIAL,DETALLES,DETALLES,DETALLES,COSTOS,COSTOS,
MATERIAL,DIAS,CANTIDAD,VALOR,COSTO DIARIO,VALOR TOTAL,
POLEAS,31,2,5000,10000,310000,
TABLEROS MADERA 70 X 140,31,6,200,1200,37200,
ANGULOS DE POLEA,31,2,500,1000,31000,
PASAMANOS,31,1,300,300,9300,
,,TOTAL DIAS,TOTAL DIAS,387500,,
,,IVA,IVA,73625,,
,,LLEVADA ,LLEVADA ,100000,,
,, GRANTOTAL, GRANTOTAL,561125,,
