ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER,ALQUIOBRAS-SANTANDER
CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059,CALLE 14#19-37TEL:3164176674/3165134059
MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025,MOVIMIENTO: JULIO/ 2025
MATERIAL,SALDO,12824,12836,12837,11632,11639,11657,11673,11683,11681,,SALDO 
MATERIAL,2025-06-30,2025-07-02,2025-07-09,2025-07-09,2025-07-11,2025-07-14,2025-07-22,2025-07-28,2025-07-31,2025-07-31,,2025-07-31
PARALES DE 6 MTROS,30,,,,,,-12,-11,-1,-6,,
FORMALETA DE 20*60,,8,,,-8,,,,,,,
"FORMALETA DE 20*1,20",,,18,6,,-18,,,,,,6
"FORMALETA DE 15*1,20",3,,,,,,,-3,,,,
Hora,,04:15,09:50,02:20,10:15,02:45,02:12,08:55,02:00,09:55,,
TRANSPORTE,,UFZ-007,TTU-924,TTU-924,TTU-924,TTU-924,TTU-924,TTU-924,TTU-924,UFZ-007,,
,12727,,,,,,,,,,,
,12754,,,,,,,,,,,
