CESAR CACERES,CESAR CACERES,CESAR CACERES,CESAR CACERES,CESAR CACERES,CESAR CACERES,CESAR CACERES
CRA 18 # 51-78 EDIF MELICONIAS,CRA 18 # 51-78 EDIF MELICONIAS,CRA 18 # 51-78 EDIF MELICONIAS,CRA 18 # 51-78 EDIF MELICONIAS,CRA 18 # 51-78 EDIF MELICONIAS,CRA 18 # 51-78 EDIF MELICONIAS,CRA 18 # 51-78 EDIF MELICONIAS
MOVIMIENTO: JULIO/ 2025TEL: 3168652013,MOVIMIENTO: JULIO/ 2025TEL: 3168652013,MOVIMIENTO: JULIO/ 2025TEL: 3168652013,MOVIMIENTO: JULIO/ 2025TEL: 3168652013,MOVIMIENTO: JULIO/ 2025TEL: 3168652013,MOVIMIENTO: JULIO/ 2025TEL: 3168652013,MOVIMIENTO: JULIO/ 2025TEL: 3168652013
MATERIAL,SALDO,12826,11630,12842,11678,SALDO 
MATERIAL,2025-06-30,2025-07-03,2025-07-09,2025-07-10,2025-07-30,2025-07-31
MARCOS ROJOS ,,12,-12,4,-4,
"CRUCETAS DE 2, MTROS",,12,-12,4,-4,
RUEDAS DE ANDAMIOS,,4,-4,8,-8,
TABLONES DE 3 MTROS,,6,-6,4,-4,
POLEA DE MANO MANUAL,1,,-1,,,
Hora,,09:00,03:30,02:30,04:30,
TRANSPORTE,,35000,35000,15000,15000,
"NEQUI   $ 400,000",,,,,,
