DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ,DIEGO GUTIERREZ
CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025,CUENTA TRIMESTRAL FEBRERO A ABRIL 2025
MORRORICO,MORRORICO,MORRORICO,MORRORICO,MORRORICO,MORRORICO,MORRORICO,MORRORICO,MORRORICO,MORRORICO,MORRORICO,MORRORICO,MORRORICO,MORRORICO,MORRORICO,MORRORICO,MORRORICO,MORRORICO
MATERIAL,12499,12534,11337,12570,12575,12584,12585,12608,12625,11408,11412,11445,12668,11453,11491,11493,SALDO
,2025-02-04,2025-02-20,2025-02-11,2025-03-03,2025-03-03,2025-03-05,2025-03-07,2025-03-13,2025-03-25,2025-03-14,2025-03-15,2025-03-31,2025-04-21,2025-04-03,2025-04-30,2025-04-30,2025-04-30
"FORMALETA DE 25*1,20",32,,-32,,,,,,,,,,,,,,
ANGULOS DE 60,32,,-32,,,,,,,,,,,,,,
"ANGULOS DE 1,20",16,,-16,,,,,,,,,,,,,,
PARALES DE 3 MTROS,16,,-16,90,,20,,,90,,,,30,,,-110,120
"FORMALETA DE 12*1,20",,8,,,,,,,,-8,,,,,,,
CERCHAS DE 3 MTROS,,,,30,,2,,,24,,,,6,,,-30,32
CERCHAS DE 2 MTROS,,,,7,,,,,,,,,1,,,-7,1
CERCHAS DE 1 MTRO,,,,,,,,,1,,,,,,,,1
"BANDAS DE 40*1,40",,,,35,,,,,,,,,6,,-34,-1,6
"BANDAS DE 40*1,20",,,,,,5,,,,,,,,,-4,-1,
"TABLEROS DE MADERA DE 70*1,40",,,,,120,16,,,80,,,,20,-13,-123,-13,87
TABLON DE 3 MTROS,,,,,,,1,,,,,-1,,,,,
"MARCOS DE ANDAMIOS 2*0,90",,,,,,,8,,,,,-8,,,,,
"CRUCETAS DE 2,40",,,,,,,8,,,,,-8,,,,,
MEZCLADOR DE CEMENTO,,,,,,,,1,,,-1,,,,,,
HORA,,10:45,,08:30,2;45,04:00,02:30,04:00,10:30,10:00,11:08,10:15,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,07:00,08:30,02:30,
Transporte,,CCL-358,,CCL-358,CCL-358,CCL-358,****,CCL-358,****,CCL-358,CCL-358,CCL-358,CCL-358,CCL-358,CCL-358,CCL-358,
